UniProt_ID,clean_global,clean_PICNIC_score,clean_PICNIC_GO_score,clean_PSAP_score,clean_PSPHunter_prob,clean_PSPire_score,clean_FuzDrop_pLLPS,clean_catGRANULE_score,clean_PLAAC_NLLR,clean_PScore_score,clean_ESpritz_score,clean_SEG_score,clean_DeepPhase_score,clean_SaPS_score,clean_PdPS_score,clean_PDL_score,clean_RY_score,clean_ParSe2_score,clean_LLPhyScore_score
P51679,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P20963,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P10747,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P07766,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P15529,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P60033,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P21926,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y6N8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P19022,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P55283,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9HCU4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8N111,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P13569,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00533,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P08172,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P02708,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P11230,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NZ45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8N5K1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q07065,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P51798,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UHP7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00299,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15247,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95833,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y696,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NZA1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
O96005,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P78357,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UHC6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P21964,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q7KZN9,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P13073,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P09669,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14548,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P15954,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00483,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P50416,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P23786,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9BUF7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UJA2,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P07333,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
