hydropathy_bin,n_single,n_multi,median_single,median_multi,difference,p
Q1,82,10,0.6254949715551721,0.6592611398973505,-0.03376616834217838,0.5101723392030217
Q2,71,21,0.5900685591447309,0.6284061129128611,-0.038337553768130195,0.46807617760150144
Q3,52,39,0.5253968920386225,0.4653645320135251,0.060032360025097375,0.673726807537216
Q4,39,53,0.4094294921740769,0.4754197291502816,-0.06599023697620465,0.004450362021360263
Q5,5,87,0.3407382756698205,0.3437829725236159,-0.003044696853795381,0.8542814863039581
