Functional Group,Count,High pLLPS,Percent High,Mean pLLPS,Median pLLPS,Enrichment,Chi2,P-value
Receptor Tyrosine Kinase,26,12,46.15384615384615,0.628076923076923,0.665,1.4311346388082076,1.7047484600555323,0.1916681511012524
Structural,1443,561,38.87733887733888,0.5574289674289673,0.5,1.2055053038609678,26.59974316947258,2.502770215262943e-07
Other,15393,5184,33.67764568310271,0.4975417397518353,0.38,1.0442736479629564,8.035884145303385,0.0045859620153837375
Enzyme,2840,707,24.8943661971831,0.4284612676056338,0.29,0.7719224451459059,62.31549957121329,2.9261300107236573e-15
Ion Channel,334,81,24.251497005988025,0.42772455089820366,0.28,0.7519884105114983,9.2784411490528,0.0023186667222882345
Transporter,313,22,7.0287539936102235,0.29265175718849845,0.2,0.21794702167153746,89.15324485807847,3.6538322731643416e-21
GPCR,17,1,5.882352941176471,0.26882352941176474,0.2,0.18239951278928138,4.266977700907781,0.0388599894279397
