uniprot_id,pmid,class_,primary_name,organism
Q55804,36920190,PS-self,crhR,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)
Q9UJA2,38322995,PS-other,CRLS1,Homo sapiens
P0ACJ8,34588591,PS-other,crp,Escherichia coli (strain K12)
Q53ET0,35037420,PS-self,CRTC2,Homo sapiens
F4HRT5,37335899,PS-self,CRWN1,Arabidopsis thaliana
Q9SAF6,37335899,PS-self,CRWN2,Arabidopsis thaliana
Q96524,38066290,PS-other,CRY2,Arabidopsis thaliana
Q96524,34650267,PS-other,CRY2,Arabidopsis thaliana
P02511,39932799,PS-other,CRYAB,Homo sapiens
P02511,36931259,PS-other,CRYAB,Homo sapiens
P07320,33755443,PS-self,CRYGD,Homo sapiens
P48729,38279052,PS-other,CSNK1A1,Homo sapiens
P68400,33723425,PS-other,CSNK2A1,Homo sapiens
P45689,38971311,PS-other,csoS1A,Halothiobacillus neapolitanus (strain ATCC 23641 / c2)
O85041,38971311,PS-other,csoS2,Halothiobacillus neapolitanus (strain ATCC 23641 / c2)
O85041,32123388,PS-other,csoS2,Halothiobacillus neapolitanus (strain ATCC 23641 / c2)
Q61164,37748139,PS-other,Ctcf,Mus musculus
Q61164,35768498,PS-self,Ctcf,Mus musculus
P35222,39316611,PS-self,CTNNB1,Homo sapiens
P35222,37873736,PS-other,CTNNB1,Homo sapiens
P35222,36037369,PS-other,CTNNB1,Homo sapiens
P35222,37657935,PS-other,CTNNB1,Homo sapiens
Q02248,34859820,PS-other,Ctnnb1,Mus musculus
P35222,31563432,PS-self,CTNNB1,Homo sapiens
P35222,38279052,PS-other,CTNNB1,Homo sapiens
Q9JJN6,31563432,PS-other,Ctnnbip1,Mus musculus
Q6PD62,36603581,PS-other,CTR9,Homo sapiens
Q14247,30531905,PS-other,CTTN,Homo sapiens
Q14247,30078712,PS-other,CTTN,Homo sapiens
B9EJA2,35562389,PS-self,Cttnbp2,Mus musculus
Q13618,30244836,PS-other,CUL3,Homo sapiens
Q9ZVH4,32810437,PS-other,CUL3A,Arabidopsis thaliana
P61073,36396954,PS-other,CXCR4,Homo sapiens
P50756,23202855,PS-self,cyce1,Xenopus laevis
P99999,39108706,PS-other,CYCS,Homo sapiens
A3QMT0,36130731,PS-self,CyHV3_ORF112,Cyprinid herpesvirus 3
Q9XUS9,34588311,PS-other,cyk-4,Caenorhabditis elegans
Q5A0W9,32719507,PS-self,CZF1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q5A0W9,33087900,PS-self,CZF1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q9NYF0,33723425,PS-other,DACT1,Homo sapiens
Q9UER7,31845799,PS-other,DAXX,Homo sapiens
O35613,31434890,PS-other,Daxx,Mus musculus
Q9UER7,31434890,PS-other,DAXX,Homo sapiens
Q9UER7,30244836,PS-self,DAXX,Homo sapiens
O35613,35809564,PS-other,Daxx,Mus musculus
O35613,37926283,PS-other,Daxx,Mus musculus
Q9UER7,36822200,PS-other,DAXX,Homo sapiens
P03265,34578359,PS-other,DBP,Human adenovirus C serotype 5
P24784,39222785,PS-other,DBP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P24784,38637545,PS-other,DBP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P24784,31435012,PS-other,DBP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P24783,31435012,PS-other,DBP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q6PAC3,37615668,PS-other,Dcaf13,Mus musculus
Q9SP32,33288888,PS-other,DCL1,Arabidopsis thaliana
Q9P805,33767388,PS-other,dcp1,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
Q9P805,24862735,PS-other,dcp1,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
Q12517,35876801,PS-other,DCP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q12517,36972455,PS-self,DCP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9NPI6,39779212,PS-other,DCP1A,Homo sapiens
Q9NPI6,39112465,PS-other,DCP1A,Homo sapiens
Q9NPI6,32857953,PS-other,DCP1A,Homo sapiens
O13828,33767388,PS-other,dcp2,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P53550,35269643,PS-other,DCP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O13828,24862735,PS-other,dcp2,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P53550,24862735,PS-other,DCP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P53550,31285266,PS-other,DCP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O13828,32513655,PS-other,dcp2,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
Q8IU60,36130271,PS-self,DCP2,Homo sapiens
P53550,36972455,PS-other,DCP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q8GW31,35621186,PS-other,DCP2,Arabidopsis thaliana
Q8IU60,37437058,PS-other,DCP2,Homo sapiens
P53550,35876801,PS-other,DCP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9C658,37220754,PS-self,DCP5,Arabidopsis thaliana
Q9C658,38384836,PS-other,DCP5,Arabidopsis thaliana
Q9C658,39480925,PS-self,DCP5,Arabidopsis thaliana
Q9UJW0,31434890,PS-self,DCTN4,Homo sapiens
Q9UJW0,34862482,PS-other,DCTN4,Homo sapiens
Q9UJW0,36810259,PS-other,DCTN4,Homo sapiens
P40087,38408252,PS-other,DDI1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P35638,34018649,PS-other,DDIT3,Homo sapiens
Q80TS7,34330769,PS-other,Ddn,Mus musculus
Q08345,36475898,PS-self,DDR1,Homo sapiens
Q08345,37833282,PS-self,DDR1,Homo sapiens
O62372,40082670,PS-other,ddx-19,Caenorhabditis elegans
Q9NVP1,40069174,PS-other,DDX18,Homo sapiens
Q9NVP1,39738032,PS-self,DDX18,Homo sapiens
Q9NR30,37029300,PS-self,DDX21,Homo sapiens
Q9NR30,36150385,PS-other,DDX21,Homo sapiens
Q9NR30,37979585,PS-other,DDX21,Homo sapiens
A0A2R9YJN8,37979585,PS-self,ddx21,Danio rerio
Q9NR30,34326237,PS-self,DDX21,Homo sapiens
Q9GZR7,37705750,PS-self,DDX24,Homo sapiens
Q13838,31435012,PS-other,DDX39B,Homo sapiens
O00571,31435012,PS-other,DDX3X,Homo sapiens
O00571,38795350,PS-other,DDX3X,Homo sapiens
O00571,34083132,PS-other,DDX3X,Homo sapiens
O00571,30531905,PS-self,DDX3X,Homo sapiens
O00571,37980572,PS-self,DDX3X,Homo sapiens
O00571,39222785,PS-other,DDX3X,Homo sapiens
O00571,37517790,PS-self,DDX3X,Homo sapiens
O00571,38721279,PS-other,DDX3X,Homo sapiens
O00571,35588748,PS-self,DDX3X,Homo sapiens
A0A8M2BG36,35661831,PS-self,ddx3xb,Danio rerio
O15523,35588748,PS-self,DDX3Y,Homo sapiens
O15523,37980572,PS-self,DDX3Y,Homo sapiens
O42107,37980572,PS-self,ddx4,Danio rerio
Q9NQI0,37980572,PS-self,DDX4,Homo sapiens
Q9NQI0,35975930,PS-self,DDX4,Homo sapiens
Q9NQI0,38721279,PS-other,DDX4,Homo sapiens
Q9NQI0,37791635,PS-self,DDX4,Homo sapiens
Q9NQI0,39168125,PS-other,DDX4,Homo sapiens
Q9NQI0,37094074,PS-other,DDX4,Homo sapiens
Q61496,36526633,PS-self,Ddx4,Mus musculus
Q9NQI0,38637545,PS-other,DDX4,Homo sapiens
Q9NQI0,25747659,PS-self,DDX4,Homo sapiens
Q8QGG8,37463577,PS-other,ddx4,Danio rerio
Q9NQI0,39505696,PS-self,DDX4,Homo sapiens
Q9NQI0,31540706,PS-other,DDX4,Homo sapiens
Q9NQI0,31974256,PS-other,DDX4,Homo sapiens
Q9NQI0,32929202,PS-other,DDX4,Homo sapiens
Q9NQI0,30500534,PS-other,DDX4,Homo sapiens
Q9NQI0,28894006,PS-self,DDX4,Homo sapiens
A0A1A7ZGA7,38810650,PS-self,DDX5,Nothobranchius furzeri
P26196,31435012,PS-other,DDX6,Homo sapiens
P26196,38769438,PS-other,DDX6,Homo sapiens
P26196,32302570,PS-other,DDX6,Homo sapiens
P26196,31324804,PS-other,DDX6,Homo sapiens
P26196,37370689,PS-other,DDX6,Homo sapiens
P0A9P6,31435012,PS-other,deaD,Escherichia coli (strain K12)
P06634,31435012,PS-other,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,32359423,PS-self,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,34232232,PS-other,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,26359986,PS-other,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,32661370,PS-self,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,39222785,PS-other,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06634,26777405,PS-other,DED1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O43583,37743569,PS-self,DENR,Homo sapiens
Q9N303,32843637,PS-other,deps-1,Caenorhabditis elegans
Q9N303,30833787,PS-other,deps-1,Caenorhabditis elegans
Q9N303,39354132,PS-other,deps-1,Caenorhabditis elegans
Q9N303,36750365,PS-other,deps-1,Caenorhabditis elegans
P02542,37838354,PS-other,DES,Gallus gallus
P17661,39932799,PS-other,DES,Homo sapiens
Q05D60,33658185,PS-other,DEUP1,Homo sapiens
Q7M6Y5,33658185,PS-self,Deup1,Mus musculus
P39517,30648970,PS-other,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,31435012,PS-other,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,35269643,PS-other,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,39578406,PS-self,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,35876801,PS-other,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,35641495,PS-other,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,39878648,PS-self,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39517,36972455,PS-self,DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9NSV4,36640348,PS-self,DIAPH3,Homo sapiens
Q9UNQ2,37024283,PS-other,DIMT1,Homo sapiens
O60832,37267110,PS-other,DKC1,Homo sapiens
O60832,39108718,PS-other,DKC1,Homo sapiens
Q12959,35869063,PS-self,DLG1,Homo sapiens
P78352,30078712,PS-other,DLG4,Homo sapiens
P78352,36693856,PS-other,DLG4,Homo sapiens
P78352,31492534,PS-other,DLG4,Homo sapiens
Q62108,37261953,PS-other,Dlg4,Mus musculus
P31016,33235361,PS-other,Dlg4,Rattus norvegicus
P78352-1,33927400,PS-other,DLG4,Homo sapiens
P78352,27565345,PS-other,DLG4,Homo sapiens
P78352,38452102,PS-other,DLG4,Homo sapiens
P97836,33235361,PS-other,Dlgap1,Rattus norvegicus
Q9D415,31492534,PS-other,Dlgap1,Mus musculus
O14490,30078712,PS-other,DLGAP1,Homo sapiens
O95886,35819332,PS-other,DLGAP3,Homo sapiens
P0ACB0,39603490,PS-other,dnaB,Escherichia coli (strain K12)
A0A085R2T8,39603490,PS-other,dnaB,Vibrio cholerae
P0AEF0,39603490,PS-other,dnaC,Escherichia coli (strain K12)
P31689,33229560,PS-self,DNAJA1,Homo sapiens
P25685,33229560,PS-self,DNAJB1,Homo sapiens
B2GPX0,37463577,PS-other,dnd1,Danio rerio
P39053,35809574,PS-self,Dnm1,Mus musculus
P50570,36738734,PS-other,DNM2,Homo sapiens
Q9CWH0,36175410,PS-other,Dppa2,Mus musculus
P0ABT2,36963493,PS-self,dps,Escherichia coli (strain K12)
P0ABT2,38572752,PS-other,dps,Escherichia coli (strain K12)
O04492,33288888,PS-other,DRB1,Arabidopsis thaliana
Q93413,38987544,PS-other,drh-3,Caenorhabditis elegans
O13801,35622527,PS-self,dri1,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P48510,38408252,PS-other,DSK2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q7JVY2,34951585,PS-other,dup,Drosophila melanogaster
Q7JVY2,31560342,PS-other,dup,Drosophila melanogaster
F4KD71,37220754,PS-self,DUR3,Arabidopsis thaliana
Q9JIM4,38440150,PS-other,Dusp12,Rattus norvegicus
O14641,39652469,PS-other,DVL2,Homo sapiens
O14641,16263761,PS-other,DVL2,Homo sapiens
O14641,38264908,PS-other,DVL2,Homo sapiens
O14641,16263762,PS-other,DVL2,Homo sapiens
Q60838,17529994,PS-self,Dvl2,Mus musculus
O14641,32632103,PS-other,DVL2,Homo sapiens
O14641,36342472,PS-other,DVL2,Homo sapiens
O14641,36398662,PS-other,DVL2,Homo sapiens
O14641,36266931,PS-other,DVL2,Homo sapiens
Q60838,37721093,PS-other,Dvl2,Mus musculus
O14641,35867833,PS-other,DVL2,Homo sapiens
Q92997,39349846,PS-other,DVL3,Homo sapiens
Q13627,37660293,PS-self,DYRK1A,Homo sapiens
O43781,29973724,PS-other,DYRK3,Homo sapiens
O43781,23415227,PS-other,DYRK3,Homo sapiens
O43781,33738926,PS-other,DYRK3,Homo sapiens
O43781,39755675,PS-other,DYRK3,Homo sapiens
P36041,38547866,PS-other,EAP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q8WQ86,38323478,PS-other,eb1,Dictyostelium discoideum
Q07802,33159853,PS-self,Ebf1,Mus musculus
Q8AZK7,31941785,PS-self,EBNA-LP,Epstein-Barr virus (strain B95-8)
P12978,31941785,PS-self,EBNA2,Epstein-Barr virus (strain B95-8)
P12978,34400762,PS-other,EBNA2,Epstein-Barr virus (strain B95-8)
Q3MK94,37816028,PS-other,ECT1,Arabidopsis thaliana
Q9LJE5,37816028,PS-other,ECT2,Arabidopsis thaliana
Q9LJE5,38009565,PS-other,ECT2,Arabidopsis thaliana
F4K1Z0,38009565,PS-other,ECT3,Arabidopsis thaliana
P39998,37398029,PS-other,EDC3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39998,35876801,PS-other,EDC3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39998,39320938,PS-other,EDC3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39998,36972455,PS-self,EDC3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O94752,33767388,PS-other,edc3,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
O94752,24862735,PS-other,edc3,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P39998,35269643,PS-other,EDC3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P34216,38235332,PS-other,EDE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P34216,34334089,PS-other,EDE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P34216,33207182,PS-other,EDE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P34216,39774270,PS-other,EDE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P34216,35412456,PS-other,EDE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q17436,32843637,PS-other,edg-1,Caenorhabditis elegans
O43324,39884379,PS-other,EEF1E1,Homo sapiens
P13639,37592155,PS-other,EEF2,Homo sapiens
G5EET6,39305484,PS-self,efa-6,Caenorhabditis elegans
Q59X67,38091321,PS-self,EFG1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q59X67,32719507,PS-self,EFG1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q59X67,38297837,PS-self,EFG1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q59X67,33087900,PS-self,EFG1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q9D8Y0,31456657,PS-self,Efhd2,Mus musculus
Q96C19,31456657,PS-self,EFHD2,Homo sapiens
Q15029,39602297,PS-other,EFTUD2,Homo sapiens
C0P279,38987544,PS-other,egc-1,Caenorhabditis elegans
P00533,33848463,PS-other,EGFR,Homo sapiens
P00533,35231400,PS-other,EGFR,Homo sapiens
P00533,35507881,PS-other,EGFR,Homo sapiens
P00533,36396954,PS-other,EGFR,Homo sapiens
P00533,35490741,PS-other,EGFR,Homo sapiens
G5EBQ3,38987544,PS-other,ego-1,Caenorhabditis elegans
P19525,31772125,PS-other,EIF2AK2,Homo sapiens
Q14152,38012130,PS-other,EIF3A,Homo sapiens
P55884,39306064,PS-other,EIF3B,Homo sapiens
P55884,29262335,PS-other,EIF3B,Homo sapiens
P55884,30893049,PS-other,EIF3B,Homo sapiens
P60842,40069174,PS-other,EIF4A1,Homo sapiens
Q6NU02,40069174,PS-other,eif4a1.L,Xenopus laevis
P23588,39384813,PS-self,EIF4B,Homo sapiens
P06730,40090627,PS-other,EIF4E,Homo sapiens
P06730,38072230,PS-other,EIF4E,Homo sapiens
Q9NRA8,37370689,PS-other,EIF4ENIF1,Homo sapiens
Q04637,38072230,PS-other,EIF4G1,Homo sapiens
Q04637,38421168,PS-other,EIF4G1,Homo sapiens
Q04637,30893049,PS-other,EIF4G1,Homo sapiens
Q6NZJ6,31999954,PS-other,Eif4g1,Mus musculus
P78344,29425497,PS-self,EIF4G2,Homo sapiens
Q9S814,36015451,PS-other,EIN2,Arabidopsis thaliana
Q19731,38987544,PS-other,ekl-1,Caenorhabditis elegans
Q15717,33650968,PS-other,ELAVL1,Homo sapiens
P70372,35994036,PS-other,Elavl1,Mus musculus
O82804,35621186,PS-other,ELF3,Arabidopsis thaliana
O82804,39113361,PS-self,ELF3,Arabidopsis thaliana
O82804,32848244,PS-self,ELF3,Arabidopsis thaliana
O44490,33208945,PS-self,elks-1,Caenorhabditis elegans
O00472,32270036,PS-other,ELL2,Homo sapiens
D3YT16,38987544,PS-other,elli-1,Caenorhabditis elegans
P15502,33755443,PS-self,ELN,Homo sapiens
Q8CB77,33334895,PS-self,Eloa,Mus musculus
Q9HC35,33848463,PS-other,EML4,Homo sapiens
Q9HC35,33976114,PS-other,EML4,Homo sapiens
J7MA22,33976114,PS-other,EML4-ALK,Homo sapiens
J7MA22,34661367,PS-other,EML4-ALK,Homo sapiens
J7MA22,38284990,PS-other,EML4-ALK,Homo sapiens
A4W2T1,38331785,PS-other,eno,Streptococcus suis (strain 98HAH33)
P00924,32298230,PS-other,ENO1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P00925,32298230,PS-other,ENO2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q12518,34887356,PS-other,ENT1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q05785,34887356,PS-other,ENT2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
A0A0B4Q642,38762180,PS-self,env,Simian-Human immunodeficiency virus 1
Q09472,34526716,PS-other,EP300,Homo sapiens
Q09472,33606996,PS-other,EP300,Homo sapiens
Q09472,34326347,PS-self,EP300,Homo sapiens
Q09472,34400762,PS-other,EP300,Homo sapiens
B2RWS6,33651988,PS-other,Ep300,Mus musculus
Q09472,33651988,PS-self,EP300,Homo sapiens
Q09472,35390165,PS-self,EP300,Homo sapiens
Q09472,37094986,PS-other,EP300,Homo sapiens
Q09472,36669583,PS-other,EP300,Homo sapiens
Q09472,35760875,PS-other,EP300,Homo sapiens
Q09472,37156794,PS-self,EP300,Homo sapiens
Q95XR4,30173914,PS-other,epg-2,Caenorhabditis elegans
P29317,37980165,PS-other,EPHA2,Homo sapiens
P42566,33820972,PS-self,EPS15,Homo sapiens
P42566,39914390,PS-self,EPS15,Homo sapiens
P04626,35231400,PS-other,ERBB2,Homo sapiens
Q15303,35231400,PS-other,ERBB4,Homo sapiens
Q99MI1,31537859,PS-other,Erc1,Mus musculus
Q811U3,33761347,PS-self,Erc1,Rattus norvegicus
Q811U3,33202250,PS-other,Erc1,Rattus norvegicus
Q8IUD2,37172719,PS-self,ERC1,Homo sapiens
Q811U3,38552623,PS-other,Erc1,Rattus norvegicus
Q8K3M6,33761347,PS-self,Erc2,Rattus norvegicus
Q6PH08,33202250,PS-other,Erc2,Mus musculus
Q03468,39555660,PS-other,ERCC6,Homo sapiens
P42763,33469149,PS-other,ERD14,Arabidopsis thaliana
P25087,25761633,PS-other,ERG6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O75460,39232130,PS-self,ERN1,Homo sapiens
O75460,38714852,PS-other,ERN1,Homo sapiens
Q8RY71,37721949,PS-other,ESP,Arabidopsis thaliana
P03372,33850322,PS-other,ESR1,Homo sapiens
P03372,30833784,PS-self,ESR1,Homo sapiens
P03372,32482854,PS-other,ESR1,Homo sapiens
P03372,30449618,PS-other,ESR1,Homo sapiens
Q08421,26359986,PS-other,ETT1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q08421,38942013,PS-other,ETT1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q16198,31171724,PS-other,EWS-Fli1,Homo sapiens
Q16198,37287827,PS-self,EWS-Fli1,Homo sapiens
Q16198,39095374,PS-other,EWS-Fli1,Homo sapiens
Q16198,37400539,PS-other,EWS-Fli1,Homo sapiens
Q01844,35033560,PS-other,EWSR1,Homo sapiens
Q01844,37243594,PS-other,EWSR1,Homo sapiens
Q01844,35787038,PS-self,EWSR1,Homo sapiens
Q01844,36444977,PS-other,EWSR1,Homo sapiens
Q61545,36754961,PS-other,Ewsr1,Mus musculus
Q01844,31171724,PS-other,EWSR1,Homo sapiens
Q01844,34304571,PS-self,EWSR1,Homo sapiens
Q01844,26286827,PS-self,EWSR1,Homo sapiens
Q01844,39112465,PS-other,EWSR1,Homo sapiens
Q01844,33159853,PS-self,EWSR1,Homo sapiens
Q01844,30937520,PS-other,EWSR1,Homo sapiens
Q01844,29930090,PS-other,EWSR1,Homo sapiens
Q01844,24267890,PS-self,EWSR1,Homo sapiens
Q01844,29650702,PS-self,EWSR1,Homo sapiens
Q01844,32929202,PS-other,EWSR1,Homo sapiens
Q07436,36807601,PS-other,ex,Drosophila melanogaster
Q15910,35642598,PS-other,EZH2,Homo sapiens
Q9Y624,36179489,PS-other,F11R,Homo sapiens
O00254,36179489,PS-other,F2RL2,Homo sapiens
P26568,38309957,PS-other,F4H5.15,Arabidopsis thaliana
Q9LFF6,36323776,PS-self,F4P12.350,Arabidopsis thaliana
A0A290MWV4,37815915,PS-other,fabG,Caulobacter vibrioides
Q9NZB2,26777405,PS-other,FAM120A,Homo sapiens
Q3UXZ6,38452102,PS-self,Fam81a,Mus musculus
P07149,25761633,PS-other,FAS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P19097,31285266,PS-other,FAS2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P14540,32298230,PS-other,FBA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P22087,38654122,PS-other,FBL,Homo sapiens
P35550,38341436,PS-other,Fbl,Mus musculus
P22087,27212236,PS-self,FBL,Homo sapiens
P22087,31540874,PS-self,FBL,Homo sapiens
P22087,38745030,PS-self,FBL,Homo sapiens
P22087,34326237,PS-self,FBL,Homo sapiens
P22087,39108718,PS-other,FBL,Homo sapiens
P22087,39579766,PS-self,FBL,Homo sapiens
P22087,39169036,PS-other,FBL,Homo sapiens
P35550,31399547,PS-other,Fbl,Mus musculus
P22232,37943867,PS-other,fbl,Xenopus laevis
P35550,37202475,PS-other,Fbl,Mus musculus
P22087,37582658,PS-other,FBL,Homo sapiens
P22087,37586369,PS-other,FBL,Homo sapiens
P22232,35607824,PS-other,fbl,Xenopus laevis
P35550,34331666,PS-other,Fbl,Mus musculus
P35550,36727534,PS-other,Fbl,Mus musculus
Q80UW2,39879982,PS-other,Fbxo2,Mus musculus
O04425,31043738,PS-self,FCA,Arabidopsis thaliana
O04425,27114519,PS-other,FCA,Arabidopsis thaliana
O04425,35621186,PS-other,FCA,Arabidopsis thaliana
O14526,33820972,PS-other,FCHO1,Homo sapiens
Q0JRZ9,33820972,PS-other,FCHO2,Homo sapiens
P32055,37191277,PS-other,fcl,Escherichia coli (strain K12)
Q9SCZ4,38157854,PS-other,FER,Arabidopsis thaliana
P59113,35049497,PS-other,Fermt1,Mus musculus
Q96AC1,39492718,PS-other,FERMT2,Homo sapiens
P61328,39158730,PS-self,FGF12,Homo sapiens
P70379,39260418,PS-self,Fgf14,Mus musculus
P09038,39158730,PS-self,FGF2,Homo sapiens
P11362,35231400,PS-other,FGFR1,Homo sapiens
P21802,35231400,PS-other,FGFR2,Homo sapiens
Q9SE97,34210966,PS-other,FH1,Arabidopsis thaliana
Q9FJX6,34210966,PS-other,FH6,Arabidopsis thaliana
Q9W1V3,28115706,PS-other,Fib,Drosophila melanogaster
Q9W1V3,26776729,PS-other,Fib,Drosophila melanogaster
Q22053,37537842,PS-other,fib-1,Caenorhabditis elegans
Q22053,36329008,PS-other,fib-1,Caenorhabditis elegans
Q94AH9,34543360,PS-self,FIB2,Arabidopsis thaliana
F4IGH3,38066290,PS-other,FIO1,Arabidopsis thaliana
Q9ZSZ8,34650267,PS-other,FIP37,Arabidopsis thaliana
Q7YTS3,36259463,PS-other,fipr-4,Caenorhabditis elegans
P0A6R3,34588591,PS-other,fis,Escherichia coli (strain K12)
Q0V7X4,38393070,PS-other,FIT,Arabidopsis thaliana
Q5T1M5,36396954,PS-other,FKBP15,Homo sapiens
O74191,36423630,PS-other,fkbp39,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P54397,32615218,PS-self,Fkbp39,Drosophila melanogaster
Q7K0L8,32579968,PS-other,FLASH,Drosophila melanogaster
P11088,32165560,PS-other,Flg,Mus musculus
P20930,32165560,PS-other,FLG,Homo sapiens
Q01543,37287827,PS-other,FLI1,Homo sapiens
P21333,36806943,PS-other,FLNA,Homo sapiens
Q59QW5,38091321,PS-self,FLO8,Candida albicans (strain SC5314 / ATCC MYA-2876)
P17948,35231400,PS-other,FLT1,Homo sapiens
Q84TD8,31043738,PS-other,FLXL2,Arabidopsis thaliana
Q06787,30765518,PS-other,FMR1,Homo sapiens
P35922,31999954,PS-other,Fmr1,Mus musculus
Q06787,31439799,PS-other,FMR1,Homo sapiens
Q06787,39106863,PS-other,FMR1,Homo sapiens
Q06787,40090627,PS-other,FMR1,Homo sapiens
Q06787,40102453,PS-other,FMR1,Homo sapiens
Q06787,34251416,PS-other,FMR1,Homo sapiens
Q06787,36375840,PS-other,FMR1,Homo sapiens
Q06787,38587486,PS-other,FMR1,Homo sapiens
P55316,38326345,PS-other,FOXG1,Homo sapiens
P85037,39083268,PS-self,FOXK1,Homo sapiens
Q08050,40122889,PS-other,FOXM1,Homo sapiens
Q08050,39814884,PS-self,FOXM1,Homo sapiens
Q9H334,40082538,PS-self,FOXP1,Homo sapiens
Q8LPQ9,31043738,PS-other,FPA,Arabidopsis thaliana
Q8LPQ9,27114519,PS-other,FPA,Arabidopsis thaliana
Q9ASS2,39385023,PS-self,FREE1,Arabidopsis thaliana
P19970,38526948,PS-self,frq,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
M9NDC3,36482422,PS-other,Fs(2)Ket,Drosophila melanogaster
P02794,36066504,PS-other,FTH1,Homo sapiens
P02794,39988734,PS-other,FTH1,Homo sapiens
P02794,40087540,PS-other,FTH1,Homo sapiens
P02792,36066504,PS-other,FTL,Homo sapiens
P0A9A6,30523075,PS-other,ftsZ,Escherichia coli (strain K12)
P0A9A6,36315857,PS-other,ftsZ,Escherichia coli (strain K12)
A0A7Y4IHA3,37380708,PS-other,ftsZ,Myxococcus xanthus
P0A9A6,36854378,PS-other,ftsZ,Escherichia coli (strain K12)
