uniprot_id,pmid,class_,primary_name,organism
P54252,38654122,PS-other,ATXN3,Homo sapiens
O14965,38746663,PS-self,AURKA,Homo sapiens
Q91820,29074706,PS-other,aurka-a,Xenopus laevis
Q96GD4,31481798,PS-other,AURKB,Homo sapiens
O15169,33060621,PS-other,AXIN1,Homo sapiens
O15169,33723425,PS-other,AXIN1,Homo sapiens
O15169,38279052,PS-self,AXIN1,Homo sapiens
O70239,17529994,PS-other,Axin1,Rattus norvegicus
O15169,39384753,PS-other,AXIN1,Homo sapiens
O15169,16263762,PS-other,AXIN1,Homo sapiens
O15169,37721093,PS-other,AXIN1,Homo sapiens
O15169,37611590,PS-self,AXIN1,Homo sapiens
O15169,36266931,PS-other,AXIN1,Homo sapiens
O15169,36342472,PS-other,AXIN1,Homo sapiens
O15169,36037369,PS-other,AXIN1,Homo sapiens
O15169,37873736,PS-other,AXIN1,Homo sapiens
Q9H6S1,31442668,PS-other,AZI2,Homo sapiens
Q92934,35790738,PS-self,BAD,Homo sapiens
O95816,35654899,PS-other,BAG2,Homo sapiens
Q9UQB8,35819332,PS-other,BAIAP2,Homo sapiens
Q9UHR4,39192031,PS-self,BAIAP2L1,Homo sapiens
Q9DBJ3,39192031,PS-other,Baiap2l1,Mus musculus
Q79LN3,34046916,PS-self,bap,Staphylococcus aureus
O70445,35809564,PS-other,Bard1,Mus musculus
Q05175,32750402,PS-other,Basp1,Rattus norvegicus
Q86NX9,32385244,PS-other,baz,Drosophila melanogaster
Q61140,35049497,PS-other,Bcar1,Mus musculus
O95999,35727133,PS-other,BCL10,Homo sapiens
Q59U10,38091321,PS-other,BCR1,Candida albicans (strain SC5314 / ATCC MYA-2876)
Q9VHP0,37980572,PS-self,bel,Drosophila melanogaster
Q00994,32142787,PS-other,BEX3,Homo sapiens
Q9LD45,39111320,PS-self,BI-1,Arabidopsis thaliana
Q8TD16,37724036,PS-other,BICD2,Homo sapiens
P11709,36536177,PS-self,BIK1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P11709,39885130,PS-self,BIK1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P40013,36536177,PS-other,BIM1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O15392,38456462,PS-other,BIRC5,Homo sapiens
O15392,31481798,PS-other,BIRC5,Homo sapiens
P54132,39038850,PS-other,BLM,Homo sapiens
P54132,37503837,PS-other,BLM,Homo sapiens
P54132,31171703,PS-other,BLM,Homo sapiens
P54132,37460154,PS-other,BLM,Homo sapiens
Q8WV28,32051419,PS-other,BLNK,Homo sapiens
P0C717,34015248,PS-other,BLRF2,Epstein-Barr virus (strain AG876)
P0C717,36250941,PS-other,BLRF2,Epstein-Barr virus (strain AG876)
P35226,34620850,PS-other,BMI1,Homo sapiens
P35226,33169020,PS-other,BMI1,Homo sapiens
P35226,37756159,PS-other,BMI1,Homo sapiens
P12643,38063842,PS-other,BMP2,Homo sapiens
Q91Z96,36739695,PS-other,Bmp2k,Mus musculus
Q12830,35073946,PS-other,BPTF,Homo sapiens
P88989,34015248,PS-other,BQLF2,Murid herpesvirus 4
P88989,36250941,PS-other,BQLF2,Murid herpesvirus 4
P15056,33645620,PS-other,BRAF,Homo sapiens
C3XWA2,25562883,PS-self,BRAFLDRAFT_117134,Branchiostoma floridae
C3XWA2,36257947,PS-self,BRAFLDRAFT_117134,Branchiostoma floridae
P38398,36092926,PS-other,BRCA1,Homo sapiens
P48754,34980897,PS-other,Brca1,Mus musculus
P38398,38578830,PS-other,BRCA1,Homo sapiens
O95696,39565874,PS-other,BRD1,Homo sapiens
P25440,32895492,PS-other,BRD2,Homo sapiens
Q15059,32895492,PS-other,BRD3,Homo sapiens
Q15059,37156794,PS-self,BRD3,Homo sapiens
O60885,37156794,PS-self,BRD4,Homo sapiens
O60885,37024934,PS-other,BRD4,Homo sapiens
O60885,35646539,PS-other,BRD4,Homo sapiens
O60885,37924814,PS-self,BRD4,Homo sapiens
O60885,37000871,PS-other,BRD4,Homo sapiens
O60885,33169020,PS-other,BRD4,Homo sapiens
O60885,37488172,PS-other,BRD4,Homo sapiens
O60885,31065677,PS-other,BRD4,Homo sapiens
Q9ESU6,31065677,PS-other,Brd4,Mus musculus
O60885,39168125,PS-other,BRD4,Homo sapiens
O60885,38423014,PS-other,BRD4,Homo sapiens
O60885,38874522,PS-other,BRD4,Homo sapiens
O60885,39136995,PS-other,BRD4,Homo sapiens
O60885,32895492,PS-other,BRD4,Homo sapiens
Q9ESU6,29930091,PS-self,Brd4,Mus musculus
O60885,38656803,PS-other,BRD4,Homo sapiens
