name,psap_score
seg0,0.004166666666666667
seg0,0.016666666666666666
seg0,0.03833333333333333
seg0,0.02
seg0,0.0175
seg0,0.020833333333333332
seg0,0.005
seg0,0.010833333333333334
seg1,0.0033333333333333335
seg2,0.015
seg3,0.035
seg0,0.0075
seg0,0.01
seg0,0.008333333333333333
seg0,0.02
seg0,0.0425
seg1,0.004166666666666667
seg2,0.015
seg3,0.005833333333333334
seg0,0.01
seg0,0.013333333333333334
seg0,0.005833333333333334
seg0,0.004166666666666667
seg1,0.015
seg2,0.021666666666666667
seg3,0.010833333333333334
seg0,0.021666666666666667
seg0,0.005833333333333334
seg0,0.0225
seg0,0.004166666666666667
seg0,0.011666666666666667
seg0,0.0125
seg0,0.010833333333333334
seg0,0.019166666666666665
seg1,0.014166666666666666
seg2,0.0125
seg0,0.0016666666666666668
seg1,0.0025
seg2,0.009166666666666667
seg0,0.010833333333333334
seg0,0.008333333333333333
seg1,0.015833333333333335
seg2,0.014166666666666666
seg3,0.024166666666666666
seg0,0.010833333333333334
seg1,0.004166666666666667
seg2,0.004166666666666667
seg3,0.005
seg4,0.006666666666666667
seg5,0.0025
seg6,0.014166666666666666
seg0,0.004166666666666667
seg0,0.009166666666666667
seg0,0.011666666666666667
seg1,0.0033333333333333335
seg2,0.011666666666666667
seg3,0.004166666666666667
seg4,0.008333333333333333
seg5,0.020833333333333332
seg6,0.015
seg0,0.008333333333333333
seg0,0.0033333333333333335
seg0,0.0016666666666666668
seg0,0.014166666666666666
seg0,0.0125
seg0,0.005833333333333334
seg1,0.0125
seg2,0.035
seg0,0.015833333333333335
seg0,0.009166666666666667
seg0,0.0075
seg0,0.008333333333333333
seg0,0.006666666666666667
seg1,0.0125
seg2,0.009166666666666667
seg3,0.011666666666666667
seg0,0.0175
seg0,0.0033333333333333335
seg1,0.005
seg2,0.0033333333333333335
seg3,0.005833333333333334
seg0,0.025
seg0,0.010833333333333334
seg1,0.008333333333333333
seg2,0.005
seg3,0.03333333333333333
seg4,0.005
seg5,0.013333333333333334
seg6,0.006666666666666667
seg0,0.0033333333333333335
seg1,0.005
seg2,0.004166666666666667
seg3,0.009166666666666667
seg0,0.0075
seg1,0.005
seg2,0.005
seg3,0.01
seg4,0.01
seg5,0.005
seg6,0.011666666666666667
seg0,0.0125
seg1,0.004166666666666667
