Predictor,Scenario,AUROC_mean,AUROC_sd,AUROC_lo,AUROC_hi,n_neg
PSAP,Membrane background (1:10 matched),0.593,0.009,0.577,0.607,600
DeepPhase,Proteome background (full),0.525,0.0,0.525,0.525,19593
DeepPhase,Membrane background (full),0.583,0.0,0.583,0.583,5132
DeepPhase,Proteome background (1:1 matched),0.506,0.047,0.422,0.611,60
DeepPhase,Proteome background (1:10 matched),0.502,0.014,0.475,0.534,600
DeepPhase,Membrane background (1:1 matched),0.583,0.032,0.519,0.642,60
DeepPhase,Membrane background (1:10 matched),0.584,0.011,0.562,0.605,600
catGRANULE,Proteome background (full),0.558,0.0,0.558,0.558,19593
catGRANULE,Membrane background (full),0.672,0.0,0.672,0.672,5132
catGRANULE,Proteome background (1:1 matched),0.521,0.038,0.446,0.593,60
catGRANULE,Proteome background (1:10 matched),0.516,0.011,0.493,0.537,600
catGRANULE,Membrane background (1:1 matched),0.673,0.031,0.621,0.727,60
catGRANULE,Membrane background (1:10 matched),0.672,0.01,0.653,0.694,600
PLAAC,Proteome background (full),0.595,0.0,0.595,0.595,19593
PLAAC,Membrane background (full),0.618,0.0,0.618,0.618,5132
PLAAC,Proteome background (1:1 matched),0.587,0.034,0.522,0.654,60
PLAAC,Proteome background (1:10 matched),0.587,0.011,0.564,0.607,600
PLAAC,Membrane background (1:1 matched),0.618,0.028,0.569,0.671,60
PLAAC,Membrane background (1:10 matched),0.617,0.011,0.598,0.64,600
ESpritz,Proteome background (full),0.489,0.0,0.489,0.489,19593
ESpritz,Membrane background (full),0.577,0.0,0.577,0.577,5132
ESpritz,Proteome background (1:1 matched),0.466,0.032,0.402,0.53,60
ESpritz,Proteome background (1:10 matched),0.457,0.012,0.436,0.482,600
ESpritz,Membrane background (1:1 matched),0.578,0.036,0.506,0.646,60
ESpritz,Membrane background (1:10 matched),0.576,0.011,0.554,0.598,600
SEG,Proteome background (full),0.511,0.0,0.511,0.511,19593
SEG,Membrane background (full),0.481,0.0,0.481,0.481,5132
SEG,Proteome background (1:1 matched),0.526,0.037,0.454,0.592,60
SEG,Proteome background (1:10 matched),0.522,0.013,0.497,0.544,600
SEG,Membrane background (1:1 matched),0.483,0.034,0.426,0.543,60
SEG,Membrane background (1:10 matched),0.481,0.011,0.46,0.501,600
