UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
Q96AC1,Fermitin family homolog 2,FERMT2 KIND2 MIG2 PLEKHC1,,PhasePDB,False
Q96AH0,SOSS complex subunit B2,NABP1 OBFC2A SSB2,,PhasePDB,False
Q96B36,Proline-rich AKT1 substrate 1,AKT1S1 PRAS40,,PhasePDB,False
Q96B97,SH3 domain-containing kinase-binding protein 1,SH3KBP1 CIN85,,PhasePDB,False
Q96BW9,"Phosphatidate cytidylyltransferase, mitochondrial",TAMM41 C3orf31,,PhasePDB,False
Q96BY2,Modulator of apoptosis 1,MOAP1 PNMA4,p62 cluster,PhasePDB,False
Q96C19,EF-hand domain-containing protein D2,EFHD2 SWS1,,PhasePDB,False
Q96CF2,Charged multivesicular body protein 4c,CHMP4C SHAX3,Abscission checkpoint body,PhasePDB,False
Q96CN9,GRIP and coiled-coil domain-containing protein 1,GCC1,Golgin condensate,PhasePDB,False
Q96CV9,Optineurin,OPTN FIP2 GLC1E HIP7 HYPL NRP,,PhasePDB,False
Q96GD4,Aurora kinase B,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,,PhasePDB,False
Q96GM5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,SMARCD1 BAF60A,Transcriptional condensate,PhasePDB,False
Q96I24,Far upstream element-binding protein 3,FUBP3 FBP3,,PhasePDB,False
Q96J02,E3 ubiquitin-protein ligase Itchy homolog,ITCH,,PhasePDB,False
Q96JG9,Zinc finger protein 469,ZNF469 KIAA1858,Proteasome containing foci; Stress granule,PhasePDB,False
Q96L73,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",NSD1 ARA267 KMT3B,,PhasePDB,False
Q96NC0,Zinc finger matrin-type protein 2,ZMAT2,,PhasePDB,False
Q96QE5,"Transcription elongation factor, mitochondrial",TEFM C17orf42,Mitochondrial nucleoid,PhasePDB,False
Q96RN5,Mediator of RNA polymerase II transcription subunit 15,MED15 ARC105 CTG7A PCQAP TIG1 TNRC7,,PhasePDB,False
Q96RR4,Calcium/calmodulin-dependent protein kinase kinase 2,CAMKK2 CAMKKB KIAA0787,,PhasePDB,False
Q96T37,RNA-binding protein 15,RBM15 OTT OTT1,Nuclear speckle,PhasePDB,False
Q99551,"Transcription termination factor 1, mitochondrial",MTERF1 MTERF,Mitochondrial nucleoid,PhasePDB,False
Q99638,Cell cycle checkpoint control protein RAD9A,RAD9A,,PhasePDB,False
Q99661,Kinesin-like protein KIF2C,KIF2C KNSL6,,PhasePDB,False
Q99683,Mitogen-activated protein kinase kinase kinase 5,MAP3K5 ASK1 MAPKKK5 MEKK5,,PhasePDB,False
Q9BPW5,Ras-like protein family member 11B,RASL11B,,PhasePDB,False
Q9BQ15,SOSS complex subunit B1,NABP2 OBFC2B SSB1,Stress granule,PhasePDB,False
Q9BQQ3,Golgi reassembly-stacking protein 1,GORASP1 GOLPH5 GRASP65,,PhasePDB,False
Q9BR39,Junctophilin-2,JPH2 JP2,Nuclear body,PhasePDB,True
Q9BRQ8,Ferroptosis suppressor protein 1,AIFM2 AMID PRG3,,PhasePDB,True
Q9BSI4,TERF1-interacting nuclear factor 2,TINF2 TIN2,,PhasePDB,False
Q9BTA9,WW domain-containing adapter protein with coiled-coil,WAC KIAA1844,Nuclear speckle,PhasePDB,False
Q9BUR4,Telomerase Cajal body protein 1,WRAP53 TCAB1 WDR79,Cajal body,PhasePDB,False
Q9BX63,Fanconi anemia group J protein,BRIP1 BACH1 FANCJ,DNA damage foci,PhasePDB,False
Q9BXP5,Serrate RNA effector molecule homolog,SRRT ARS2 ASR2,Cajal body,PhasePDB,False
Q9BXU1,Serine/threonine-protein kinase 31,STK31 SGK396,,PhasePDB,False
Q9BYW2,Histone-lysine N-methyltransferase SETD2,SETD2 HIF1 HYPB KIAA1732 KMT3A SET2,,PhasePDB,False
Q9GZR7,ATP-dependent RNA helicase DDX24,DDX24,Nucleolus,PhasePDB,False
Q9H0E2,Toll-interacting protein,TOLLIP,,PhasePDB,False
Q9H171,Z-DNA-binding protein 1,ZBP1 C20orf183 DLM1,,PhasePDB,False
Q9H211,DNA replication factor Cdt1,CDT1,,PhasePDB,False
Q9H257,Caspase recruitment domain-containing protein 9,CARD9,,PhasePDB,False
Q9H2A3,Neurogenin-2,NEUROG2 ATOH4 BHLHA8 NGN2,,PhasePDB,False
Q9H334,Forkhead box protein P1,FOXP1,Transcriptional condensate,PhasePDB,False
Q9H3F6,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,KCTD10 ULR061,Postsynaptic density,PhasePDB,False
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23,PTPN23 KIAA1471,SINT-speckle,PhasePDB,False
Q9H3U5,Lysosomal dipeptide transporter MFSD1,MFSD1 SMAP4,,PhasePDB,True
Q9H444,Charged multivesicular body protein 4b,CHMP4B C20orf178 SHAX1,Abscission checkpoint body,PhasePDB,False
Q9H461,Frizzled-8,FZD8,Wnt signalodroplet,PhasePDB,True
Q9H4A3,Serine/threonine-protein kinase WNK1,WNK1 HSN2 KDP KIAA0344 PRKWNK1,TWN body,PhasePDB,False
Q9H4B6,Protein salvador homolog 1,SAV1 WW45,,PhasePDB,False
Q9H4G4,Golgi-associated plant pathogenesis-related protein 1,GLIPR2 C9orf19 GAPR1,,PhasePDB,False
Q9H5I1,Histone-lysine N-methyltransferase SUV39H2,SUV39H2 KMT1B,Nucleolus,PhasePDB,False
Q9H5P4,PDZ domain-containing protein 7,PDZD7 PDZK7,,PhasePDB,False
Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial",TFB2M NS5ATP5,Mitochondrial nucleoid,PhasePDB,False
Q9H6S1,5-azacytidine-induced protein 2,AZI2 NAP1 TBKBP2,SINT-speckle,PhasePDB,False
Q9H7Z6,Histone acetyltransferase KAT8,KAT8 MOF MYST1,Cajal body; PML nuclear body,PhasePDB,False
Q9H8W2,Putative uncharacterized protein encoded by LINC00472,LINC00472 C6orf155,Nucleolus,PhasePDB,False
Q9H8Y8,Golgi reassembly-stacking protein 2,GORASP2 GOLPH6,,PhasePDB,False
Q9H9J4,Ubiquitin carboxyl-terminal hydrolase 42,USP42,Nuclear speckle,PhasePDB,False
Q9H9S0,Homeobox protein NANOG,NANOG,Transcriptional condensate,LLPSDB+PhasePDB,False
Q9HBL0,Tensin-1,TNS1 TNS,,PhasePDB,False
Q9HC52,Chromobox protein homolog 8,CBX8 PC3 RC1,Nuclear body,PhasePDB,False
Q9HC98,Serine/threonine-protein kinase Nek6,NEK6,,PhasePDB,False
Q9HCE1,Helicase MOV-10,MOV10 KIAA1631,P-body,PhasePDB,False
Q9HCE7,E3 ubiquitin-protein ligase SMURF1,SMURF1 KIAA1625,,PhasePDB,False
Q9NP98,Myozenin-1,MYOZ1 MYOZ,,PhasePDB,False
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B C20orf77 CREPT,,PhasePDB,False
Q9NQW6,Anillin,ANLN,Transcriptional condensate,PhasePDB,False
Q9NR56,Muscleblind-like protein 1,MBNL1 EXP KIAA0428 MBNL,P-body; Stress granule,PhasePDB,False
Q9NRA8,Eukaryotic translation initiation factor 4E transporter,EIF4ENIF1,P-body,PhasePDB,False
Q9NSU2,Three-prime repair exonuclease 1,TREX1,cGAS-DNA complex,PhasePDB,False
Q9NSV4,Protein diaphanous homolog 3,DIAPH3 DIAP3,,PhasePDB,False
Q9NTZ6,RNA-binding protein 12,RBM12 KIAA0765,Nuclear speckle,PhasePDB,False
Q9NUD5,Zinc finger CCHC domain-containing protein 3,ZCCHC3 C20orf99,,PhasePDB,False
Q9NUX5,Protection of telomeres protein 1,POT1,,PhasePDB,False
Q9NWB1,RNA binding protein fox-1 homolog 1,RBFOX1 A2BP A2BP1 FOX1 HRNBP1,Nuclear speckle; Stress granule,PhasePDB,False
Q9NWF9,E3 ubiquitin-protein ligase RNF216,RNF216 TRIAD3 UBCE7IP1 ZIN,,PhasePDB,False
Q9NWS1,PCNA-interacting partner,PARPBP C12orf48 PARI,DNA damage foci,PhasePDB,False
Q9NX01,Thioredoxin-like protein 4B,TXNL4B DIM2 DLP,P-body,PhasePDB,False
Q9NYF0,Dapper homolog 1,DACT1 DPR1 HNG3,,PhasePDB,False
Q9NYJ8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TAB2 KIAA0733 MAP3K7IP2,,PhasePDB,False
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A C9orf10 KIAA0183 OSSA,Stress granule,PhasePDB,False
Q9NZM5,Ribosome biogenesis protein NOP53,NOP53 GLT GLTSCR2 PICT1,Nucleolus,PhasePDB,False
Q9P0U3,Sentrin-specific protease 1,SENP1,,PhasePDB,False
Q9P202,Whirlin,WHRN DFNB31 KIAA1526,,PhasePDB,False
Q9UBK2,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A LEM6 PGC1 PGC1A PPARGC1,Transcriptional condensate,PhasePDB,False
Q9UBT2,SUMO-activating enzyme subunit 2,UBA2 SAE2 UBLE1B,,PhasePDB,False
Q9UDY2,Tight junction protein 2,TJP2 X104 ZO2,,PhasePDB,False
Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,MALT1 MLT,,PhasePDB,False
Q9UGP4,LIM domain-containing protein 1,LIMD1,,PhasePDB,False
Q9UHR4,BAR/IMD domain-containing adapter protein 2-like 1,BAIAP2L1 IRTKS,Heterochromatin,PhasePDB,False
Q9UHY1,Nuclear receptor-binding protein,NRBP1 BCON3 NRBP,TWN body,PhasePDB,False
Q9UIS9,Methyl-CpG-binding domain protein 1,MBD1 CXXC3 PCM1,Heterochromatin,PhasePDB,False
Q9UJA2,Cardiolipin synthase (CMP-forming),CRLS1 C20orf155 CLS1,,PhasePDB,True
Q9UJY1,Heat shock protein beta-8,HSPB8 CRYAC E2IG1 HSP22,,PhasePDB,False
Q9UM73,ALK tyrosine kinase receptor,ALK,,PhasePDB,True
Q9UMQ5,,N-myc,Transcriptional condensate,PhasePDB,False
Q9UNE7,E3 ubiquitin-protein ligase CHIP,STUB1 CHIP,,PhasePDB,False
Q9UNQ2,Dimethyladenosine transferase,DIMT1 DIMT1L,Nucleolus,PhasePDB,False
Q9UPQ9,Trinucleotide repeat-containing gene 6B protein,TNRC6B KIAA1093,miRISC; P-body,PhasePDB,False
Q9UPY8,Microtubule-associated protein RP/EB family member 3,MAPRE3,,PhasePDB,False
Q9UQB8,BAR/IMD domain-containing adapter protein 2,BAIAP2,Postsynaptic density,PhasePDB,False
Q9Y232,Chromodomain Y-like protein,CDYL CDYL1,,PhasePDB,False
Q9Y255,"PRELI domain-containing protein 1, mitochondrial",PRELID1 PRELI,,PhasePDB,False
Q9Y272,Dexamethasone-induced Ras-related protein 1,RASD1 AGS1 DEXRAS1,,PhasePDB,False
Q9Y2J0,Rabphilin-3A,RPH3A KIAA0985,,PhasePDB,False
Q9Y2K7,Lysine-specific demethylase 2A,KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004,,PhasePDB,False
Q9Y2X0,Mediator of RNA polymerase II transcription subunit 16,MED16 DRIP92 THRAP5,Mediator condensate,PhasePDB,False
Q9Y3I0,RNA-splicing ligase RtcB homolog,RTCB C22orf28,Stress granule,PhasePDB,False
Q9Y490,Talin-1,TLN1 KIAA1027 TLN,,PhasePDB,False
Q9Y4G6,Talin-2,TLN2 KIAA0320,,PhasePDB,False
Q9Y572,Receptor-interacting serine/threonine-protein kinase 3,RIPK3 RIP3,Necrosome,PhasePDB,False
Q9Y5K6,CD2-associated protein,CD2AP,,PhasePDB,False
Q9Y624,Junctional adhesion molecule A,F11R JAM1 JCAM,,PhasePDB,True
Q9Y657,Spindlin-1,SPIN1 OCR SPIN,,PhasePDB,False
Q9Y6N9,Harmonin,USH1C AIE75,Receptor cluster,PhasePDB,False
Q9Y6Q9,Nuclear receptor coactivator 3,NCOA3 AIB1 BHLHE42 RAC3 TRAM1,,PhasePDB,False
P09651-2,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Cytoplasm.,LLPSDB,False
P00519,Tyrosine-protein kinase ABL1;Abelson murine leukemia viral oncogene homolog 1;Abelson tyrosine-protein kinase 1;Proto-oncogene c-Abl;p150,ABL1;ABL;JTK7,"Cytoplasm, cytoskeleton; Nucleus; Mitochondrion.",LLPSDB,False
P78352-3,Disks large homolog 4;Postsynaptic density protein 95;Synapse-associated protein 90,DLG4;PSD95,"Cell membrane; Lipid-anchor; Cytoplasmic side; Cell junction, synapse, postsynaptic cell membrane, postsynaptic density; Cell junction, synapse; Cytoplasm; Cell projection, axon.",LLPSDB,False
P10636-8,Microtubule-associated protein tau;Neurofibrillary tangle protein;Paired helical filament-tau,MAPT;MAPTL;MTBT1;TAU,"Cytoplasm, cytosol; Cell membrane; Peripheral membrane protein; Cytoplasmic side; Cytoplasm, cytoskeleton; Cell projection, axon; Cytoplasm; Cell projection, dendrite.",LLPSDB,False
Q14739,Lamin-B receptor;Integral nuclear envelope inner membrane protein;LMN2R,LBR,Nucleus inner membrane; Multi-pass membrane protein.,LLPSDB,True
P0CG48,Polyubiquitin-C,UBC,Cytoplasm; Nucleus.,LLPSDB,False
P62750,60S ribosomal protein L23a;Large ribosomal subunit protein uL23,RPL23A,,LLPSDB,False
O43561-2,Linker for activation of T-cells family member 1;36 kDa phospho-tyrosine adapter protein;p36-38,LAT,Cell membrane; Single-pass type III membrane protein.,LLPSDB,False
P18031,Tyrosine-protein phosphatase non-receptor type 1;Protein-tyrosine phosphatase 1B,PTPN1;PTP1B,Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side.,LLPSDB,False
Q13094,Lymphocyte cytosolic protein 2;SH2 domain-containing leukocyte protein of 76 kDa;SLP-76 tyrosine phosphoprotein,LCP2,Cytoplasm.,LLPSDB,False
O75791,GRB2-related adapter protein 2;Adapter protein GRID;GRB-2-like protein;GRBLG;GRBX;Grf40 adapter protein;Growth factor receptor-binding protein;Hematopoietic cell-associated adapter protein GrpL;P38;Protein GADS;SH3-SH2-SH3 adapter Mona,GRAP2;GADS;GRB2L;GRID,Nucleus; Cytoplasm; Endosome.,LLPSDB,False
P31942,Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein 2H9,HNRNPH3;HNRPH3,Nucleus.,LLPSDB,False
G8JLB6,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1,,LLPSDB,False
P55795,Heterogeneous nuclear ribonucleoprotein H2;FTP-3;Heterogeneous nuclear ribonucleoprotein H',HNRNPH2;FTP3;HNRPH2,"Nucleus, nucleoplasm.",LLPSDB,False
P33240,Cleavage stimulation factor subunit 2;CF-1 64 kDa subunit;Cleavage stimulation factor 64 kDa subunit,CSTF2,Nucleus.,LLPSDB,False
Q9H0L4,Cleavage stimulation factor subunit 2 tau variant;CF-1 64 kDa subunit tau variant;Cleavage stimulation factor 64 kDa subunit tau variant;TauCstF-64,CSTF2T;KIAA0689,Nucleus.,LLPSDB,False
P09651-1,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Nucleus; Cytoplasm.,LLPSDB,False
A0A024RB53,Epididymis secretory sperm binding protein;Heterogeneous nuclear ribonucleoprotein A1; isoform CRA_a,HNRPA1;hCG_2017591,,LLPSDB,False
D6RBZ0,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,,LLPSDB,False
Q13151,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0;HNRPA0,Nucleus.,LLPSDB,False
K7EK33,DAZ-associated protein 1,DAZAP1,,LLPSDB,False
Q32P51,Heterogeneous nuclear ribonucleoprotein A1-like 2;hnRNP core protein A1-like 2,HNRNPA1L2;HNRNPA1L,Nucleus; Cytoplasm.,LLPSDB,False
Q15811,Intersectin-1;SH3 domain-containing protein 1A;SH3P17,ITSN1;ITSN;SH3D1A,"Endomembrane system; Cell junction, synapse, synaptosome; Cell projection, lamellipodium; Membrane, clathrin-coated pit.",LLPSDB,False
O00410,Importin-5;Importin subunit beta-3;Karyopherin beta-3;Ran-binding protein 5,IPO5;KPNB3;RANBP5,"Cytoplasm; Nucleus; Nucleus, nucleolus.",LLPSDB,False
Q92804-2,TATA-binding protein-associated factor 2N;68 kDa TATA-binding protein-associated factor;RNA-binding protein 56,TAF15;RBP56;TAF2N,Nucleus; Cytoplasm.,LLPSDB,False
P16753-2,Capsid scaffolding protein;Protease precursor,UL80;APNG,Host cytoplasm; Host nucleus; Host nucleus.,LLPSDB,False
P19622,Homeobox protein engrailed-2,EN2,Nucleus.,LLPSDB,False
P23769 ,Endothelial transcription factor GATA-2;GATA-binding protein 2,GATA2,Nucleus.,LLPSDB,False
Q13542,Eukaryotic translation initiation factor 4E-binding protein 2;4E-BP2;eIF4E-binding protein 2;EIF4EBP2,EIF4EBP2,Cytoplasm.Postsynapse.,LLPSDB,False
P35555,Fibrillin-1;Asprosin,FBN1;FBN,"Extracellular matrix, Secreted.",LLPSDB,False
P52292,Importin subunit alpha-1;Karyopherin subunit alpha-2;RAG cohort protein 1;SRP1-alpha,KPNA2;RCH1;SRP1,Cytoplasm;Nucleus.,LLPSDB,False
O14980,Exportin-1;Exp1;Chromosome region maintenance 1 protein homolog,XPO1;CRM1,"Cytoplasm;Nucleus,nucleoplasm;Nucleus,Cajal body;Nucleus,nucleolus.",LLPSDB,False
P08908,5-hydroxytryptamine receptor 1A;5-HT-1A;5-HT1A;G-21;Serotonin receptor 1A,HTR1A;ADRB2RL1;ADRBRL1,Cell membrane;Multi-pass membrane protein.,LLPSDB,True
