UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
P63162,Small nuclear ribonucleoprotein-associated protein N,SNRPN HCERN3 SMN,,PhasePDB,False
P63244,Small ribosomal subunit protein RACK1,RACK1 GNB2L1,,PhasePDB,False
P67936,Tropomyosin alpha-4 chain,TPM4,,PhasePDB,False
P68400,Casein kinase II subunit alpha,CSNK2A1 CK2A1,,PhasePDB,False
P78317,E3 ubiquitin-protein ligase RNF4,RNF4 SNURF,p62 cluster; PML nuclear body,PhasePDB,False
P78344,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2 DAP5,,PhasePDB,False
P78352-1,Isoform 1 of Disks large homolog 4,DLG4 PSD95,,PhasePDB,False
P78362,SRSF protein kinase 2,SRPK2,Stress granule,PhasePDB,False
P78371,T-complex protein 1 subunit beta,CCT2 99D8.1 CCTB,Inclusion body,PhasePDB,False
P78396,Cyclin-A1,CCNA1,,PhasePDB,False
P81133,Single-minded homolog 1,SIM1 BHLHE14,Mesh-like condensate,PhasePDB,False
P83731,Large ribosomal subunit protein eL24,RPL24,,PhasePDB,False
P84243,Histone H3.3,H3-3A H3.3A H3F3 H3F3A,,PhasePDB,False
P85037,Forkhead box protein K1,FOXK1 MNF,Transcriptional condensate,PhasePDB,False
P98179,RNA-binding protein 3,RBM3 RNPL,,PhasePDB,False
P99999,Cytochrome c,CYCS CYC,,PhasePDB,False
Q00987,E3 ubiquitin-protein ligase Mdm2,MDM2,,PhasePDB,False
Q00994,Protein BEX3,BEX3 DXS6984E NADE NGFRAP1,,PhasePDB,False
Q01081,Splicing factor U2AF 35 kDa subunit,U2AF1 U2AF35 U2AFBP,,PhasePDB,False
Q01105,Protein SET,SET,,PhasePDB,False
Q01196,Runt-related transcription factor 1,RUNX1 AML1 CBFA2,Nucleolus,PhasePDB,False
Q01543,Friend leukemia integration 1 transcription factor,FLI1,,PhasePDB,False
Q01860,"POU domain, class 5, transcription factor 1",POU5F1 OCT3 OCT4 OTF3,Mediator condensate; Transcriptional condensate,LLPSDB+PhasePDB,False
Q02224,Centromere-associated protein E,CENPE,,PhasePDB,False
Q02880,DNA topoisomerase 2-beta,TOP2B,,PhasePDB,False
Q03135,Caveolin-1,CAV1 CAV,,PhasePDB,True
Q03164,Histone-lysine N-methyltransferase 2A,KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,,PhasePDB,False
Q03468,DNA excision repair protein ERCC-6,ERCC6 CSB,Nucleolus,PhasePDB,False
Q04671,P protein,OCA2 D15S12 P,Inclusion body,PhasePDB,True
Q05D60,Deuterosome assembly protein 1,DEUP1 CCDC67,,PhasePDB,False
Q07065,Cytoskeleton-associated protein 4,CKAP4,,PhasePDB,True
Q07352,mRNA decay activator protein ZFP36L1,ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B,TIS granule,PhasePDB,False
Q08378,Golgin subfamily A member 3,GOLGA3,Golgin condensate,PhasePDB,False
Q0JRZ9,F-BAR domain only protein 2,FCHO2,,PhasePDB,False
Q12756,Kinesin-like protein KIF1A,KIF1A ATSV C2orf20,,PhasePDB,False
Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,SMARCB1 BAF47 INI1 SNF5L1,Transcriptional condensate,PhasePDB,False
Q12830,Nucleosome-remodeling factor subunit BPTF,BPTF FAC1 FALZ,,PhasePDB,False
Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A NMDAR2A,,PhasePDB,True
Q12906,Interleukin enhancer-binding factor 3,ILF3 DRBF MPHOSPH4 NF90,,PhasePDB,False
Q12933,TNF receptor-associated factor 2,TRAF2 TRAP3,,PhasePDB,False
Q12959,Disks large homolog 1,DLG1,,PhasePDB,False
Q13021,MAL-like protein,MALL BENE,PML nuclear body,PhasePDB,True
Q13049,E3 ubiquitin-protein ligase TRIM32,TRIM32 HT2A,,PhasePDB,False
Q13111,Chromatin assembly factor 1 subunit A,CHAF1A CAF CAF1P150,Nuclear body,PhasePDB,False
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1 AMPK1,,PhasePDB,False
Q13137,Calcium-binding and coiled-coil domain-containing protein 2,CALCOCO2 NDP52,,PhasePDB,False
Q13188,Serine/threonine-protein kinase 3,STK3 KRS1 MST2,,PhasePDB,False
Q13263,Transcription intermediary factor 1-beta,TRIM28 KAP1 RNF96 TIF1B,,PhasePDB,False
Q13402,Unconventional myosin-VIIa,MYO7A USH1B,Receptor cluster,PhasePDB,False
Q13428,Treacle protein,TCOF1,Nucleolus,PhasePDB,False
Q13439,Golgin subfamily A member 4,GOLGA4,Golgin condensate,PhasePDB,False
Q13485,Mothers against decapentaplegic homolog 4,SMAD4 DPC4 MADH4,,PhasePDB,False
Q13526,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Transcriptional condensate,PhasePDB,False
Q13535,Serine/threonine-protein kinase ATR,ATR FRP1,,PhasePDB,False
Q13546,Receptor-interacting serine/threonine-protein kinase 1,RIPK1 RIP RIP1,Necrosome,PhasePDB,False
Q13554,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2B CAM2 CAMK2 CAMKB,,PhasePDB,False
Q13569,G/T mismatch-specific thymine DNA glycosylase,TDG,Nucleolus,PhasePDB,False
Q13618,Cullin-3,CUL3 KIAA0617,Nuclear speckle,PhasePDB,False
Q13627,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYRK1A DYRK MNB MNBH,Nuclear speckle,LLPSDB+PhasePDB,False
Q13702,43 kDa receptor-associated protein of the synapse,RAPSN RNF205,,PhasePDB,False
Q13823,Nucleolar GTP-binding protein 2,GNL2 NGP1,Nucleolus,LLPSDB+PhasePDB,False
Q13838,Spliceosome RNA helicase DDX39B,DDX39B BAT1 UAP56,Nuclear speckle,PhasePDB,False
Q14008,Cytoskeleton-associated protein 5,CKAP5 KIAA0097,,PhasePDB,False
Q14103,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD AUF1 HNRPD,Nucleus; Cytoplasm.,LLPSDB+PhasePDB,False
Q14145,Kelch-like ECH-associated protein 1,KEAP1 INRF2 KIAA0132 KLHL19,p62 cluster,PhasePDB,False
