uniprot_id,protein_name,gene,organism,source
P0C093,Nucleoid occlusion factor SlmA,slmA,Escherichia coli,llps_natural
O00571,ATP-dependent RNA helicase DDX3X,DDX3X,Homo sapiens,llps_natural
Q03513,Carbon dioxide concentrating mechanism protein CcmM,ccmM,Synechococcus elongatus,llps_natural
P00880,Ribulose bisphosphate carboxylase large chain,cbbL,Synechococcus sp,llps_natural
Q2Q9Z6,Foot protein 3 variant 11,fp-3,Mytilus californianus,llps_natural
P18573,Alpha/beta-gliadin MM1,-,Triticum aestivum,llps_natural
Q9D415,Disks large-associated protein 1,Dlgap1,Mus musculus,llps_natural
Q4ACU6,SH3 and multiple ankyrin repeat domains protein 3,Shank3,Mus musculus,llps_natural
Q13542,Eukaryotic translation initiation factor 4E-binding protein 2;4E-BP2;eIF4E-binding protein 2;EIF4EBP2,EIF4EBP2,Homo sapiens,llps_natural
M9PC46,Roundabout 2 isoform B,robo2;CG5481,Drosophila melanogaster ,llps_natural
P07320,Gamma-crystallin D;Gamma-D-crystallin;Gamma-crystallin 4,CRYGD;CRYG4,Homo sapiens,llps_natural
P10067,Gamma-crystallin D;Gamma-D-crystallin;Gamma-crystallin 2-2,Crygd,Rattus norvegicus,llps_natural
P53297,PAB1-binding protein 1,PBP1;MRS16;YGR178C,Saccharomyces cerevisiae,llps_natural
A0A0G2UHG9,Histidine rich beak protein 2,HBP-2,Dosidicus gigas,llps_natural
P04985,Elastin; Tropoelastin,ELN,Bos taurus,llps_natural
P15502,Elastin; Tropoelastin,ELN,Homo sapiens,llps_natural
P35555,Fibrillin-1;Asprosin,FBN1;FBN,Homo sapiens,llps_natural
P32835,GTP-binding nuclear protein GSP1/CNR1;Chromosome stability protein 17;GTPase Ran homolog;Genetic suppressor of PRP20-1,GSP1;CNR1;CST17;YLR293C;L8003.19,Saccharomyces cerevisiae,llps_natural
P52292,Importin subunit alpha-1;Karyopherin subunit alpha-2;RAG cohort protein 1;SRP1-alpha,KPNA2;RCH1;SRP1,Homo sapiens,llps_natural
Q14974,Importin subunit beta-1;Importin-90;Karyopherin subunit beta-1;Nuclear factor p97;Pore targeting complex 97 kDa subunit;PTAC97,KPNB1;NTF97,Homo sapiens,llps_natural
P32337,Importin subunit beta-3;Karyopherin subunit beta-3;Karyopherin-121;Protein secretion enhancer 1,PSE1;KAP121;YMR308C;YM9952.10C,Saccharomyces cerevisiae,llps_natural
O14980,Exportin-1;Exp1;Chromosome region maintenance 1 protein homolog,XPO1;CRM1,Homo sapiens,llps_natural
P78953,Division mal foutue 1 protein,mid1;dmf1;SPCC4B3.15,Schizosaccharomyces pombe,llps_natural
Q8SWR8,Ataxin-2 homolog;Datx2,Atx2;CG5166,Drosophila melanogaster,llps_natural
P08908,5-hydroxytryptamine receptor 1A;5-HT-1A;5-HT1A;G-21;Serotonin receptor 1A,HTR1A;ADRB2RL1;ADRBRL1,Homo sapiens,llps_natural
Q41372,Aquaporin,SOVF_195660,Spinacia oleracea,llps_natural
P60844,Aquaporin Z;Bacterial nodulin-like intrinsic protein,aqpZ;bniP;b0875;JW0859,Escherichia coli,llps_natural
P02945,Bacteriorhodopsin;BR;Bacterioopsin;BO,bop; VNG_1467G,Halobacterium salinarum,llps_natural
E1UZH7,Alpha-hemolysin,alpha hlyA,Escherichia coli,llps_natural
