Predictor,Scenario,AUROC_full,AUROC_clean,AUROC_global,MaxMCC_full,MaxMCC_clean,MaxMCC_global,Delta_AUROC,CI_lo,CI_hi,N_pos_full,N_pos_clean,N_pos_global
FuzDrop,Membrane vs single-pass background,0.549,0.549,0.283,0.037,0.037,0.011,0.0,0.476,0.622,60,60,4
FuzDrop,Membrane vs multi-pass background,0.756,0.756,0.555,0.138,0.138,0.024,0.0,0.7,0.814,60,60,4
PSAP,Membrane vs proteome background,0.494,0.494,0.321,0.002,0.002,0.0,0.0,0.434,0.556,53,53,4
PSAP,Membrane vs membrane background,0.592,0.592,0.406,0.051,0.051,0.0,0.0,0.53,0.659,53,53,4
PSAP,Membrane vs single-pass background,0.53,0.53,0.347,0.024,0.024,0.0,0.0,0.468,0.593,53,53,4
PSAP,Membrane vs multi-pass background,0.64,0.64,0.451,0.128,0.128,0.0,0.0,0.575,0.708,53,53,4
DeepPhase,Membrane vs proteome background,0.525,0.525,0.424,0.016,0.016,0.006,0.0,0.466,0.584,56,56,4
DeepPhase,Membrane vs membrane background,0.583,0.583,0.482,0.047,0.047,0.011,0.0,0.508,0.657,56,56,4
DeepPhase,Membrane vs single-pass background,0.594,0.594,0.492,0.073,0.073,0.017,0.0,0.529,0.656,56,56,4
DeepPhase,Membrane vs multi-pass background,0.575,0.575,0.473,0.138,0.138,0.03,0.0,0.486,0.664,56,56,4
catGRANULE,Membrane vs proteome background,0.558,0.558,0.677,0.015,0.015,0.015,0.0,0.482,0.636,60,60,4
catGRANULE,Membrane vs membrane background,0.672,0.672,0.798,0.07,0.07,0.045,0.0,0.6,0.74,60,60,4
catGRANULE,Membrane vs single-pass background,0.575,0.575,0.703,0.067,0.067,0.048,0.0,0.492,0.645,60,60,4
catGRANULE,Membrane vs multi-pass background,0.751,0.751,0.877,0.154,0.154,0.09,0.0,0.682,0.816,60,60,4
PLAAC,Membrane vs proteome background,0.595,0.595,0.629,0.03,0.03,0.013,0.0,0.526,0.664,60,60,4
