uniprot_id,protein_name,gene_names,organism,source
Q9Y2K7,Lysine-specific demethylase 2A,KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004,Homo sapiens,phasepdb
Q9Y2X0,Mediator of RNA polymerase II transcription subunit 16,MED16 DRIP92 THRAP5,Homo sapiens,phasepdb
Q9Y3I0,RNA-splicing ligase RtcB homolog,RTCB C22orf28,Homo sapiens,phasepdb
Q9Y490,Talin-1,TLN1 KIAA1027 TLN,Homo sapiens,phasepdb
Q9Y4G6,Talin-2,TLN2 KIAA0320,Homo sapiens,phasepdb
Q9Y572,Receptor-interacting serine/threonine-protein kinase 3,RIPK3 RIP3,Homo sapiens,phasepdb
Q9Y5K6,CD2-associated protein,CD2AP,Homo sapiens,phasepdb
Q9Y624,Junctional adhesion molecule A,F11R JAM1 JCAM,Homo sapiens,phasepdb
Q9Y657,Spindlin-1,SPIN1 OCR SPIN,Homo sapiens,phasepdb
Q9Y6N9,Harmonin,USH1C AIE75,Homo sapiens,phasepdb
Q9Y6Q9,Nuclear receptor coactivator 3,NCOA3 AIB1 BHLHE42 RAC3 TRAM1,Homo sapiens,phasepdb
