uniprot_id,protein_name,gene_names,organism,source
Q5FBB7,Shugoshin 1,SGO1 SGOL1,Homo sapiens,phasepdb
Q5JR59,Microtubule-associated tumor suppressor candidate 2,MTUS2 CAZIP KIAA0774 TIP150,Homo sapiens,phasepdb
Q5T1M5,FK506-binding protein 15,FKBP15 KIAA0674,Homo sapiens,phasepdb
Q5T481,RNA-binding protein 20,RBM20,Homo sapiens,phasepdb
Q5T6F2,Ubiquitin-associated protein 2,UBAP2 KIAA1491,Homo sapiens,phasepdb
Q5UEC7,,MLL/EB1,Homo sapiens,phasepdb
Q5UIP0,Telomere-associated protein RIF1,RIF1,Homo sapiens,phasepdb
Q6LD62,,14-3-3 protein cytosolic phospholipase A2,Homo sapiens,phasepdb
Q6NTE8,MRN complex-interacting protein,MRNIP C5orf45,Homo sapiens,phasepdb
Q6NUN9,Zinc finger protein 746,ZNF746 PARIS,Homo sapiens,phasepdb
Q6P6C2,RNA demethylase ALKBH5,ALKBH5 ABH5 OFOXD1,Homo sapiens,phasepdb
Q6PD62,RNA polymerase-associated protein CTR9 homolog,CTR9 KIAA0155 SH2BP1,Homo sapiens,phasepdb
Q6PIF6,Unconventional myosin-VIIb,MYO7B,Homo sapiens,phasepdb
Q6SZW1,NAD(+) hydrolase SARM1,SARM1 KIAA0524 SAMD2 SARM,Homo sapiens,phasepdb
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1,LRSAM1 TAL,Homo sapiens,phasepdb
Q6WCQ1,Myosin phosphatase Rho-interacting protein,MPRIP KIAA0864 MRIP RHOIP3,Homo sapiens,phasepdb
Q6ZMT4,Lysine-specific demethylase 7A,KDM7A JHDM1D KDM7 KIAA1718,Homo sapiens,phasepdb
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,MAP3K15 ASK3,Homo sapiens,phasepdb
Q6ZUJ4,Uncharacterized protein C3orf62,C3orf62,Homo sapiens,phasepdb
Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1,Homo sapiens,phasepdb
Q71DI3,Histone H3.2,H3C15 HIST2H3A,Homo sapiens,phasepdb
Q7KZ85,Transcription elongation factor SPT6,SUPT6H KIAA0162 SPT6H,Homo sapiens,phasepdb
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1 TDRD11,Homo sapiens,phasepdb
Q7Z333,Probable helicase senataxin,SETX ALS4 KIAA0625 SCAR1,Homo sapiens,phasepdb
Q7Z3C6,Autophagy-related protein 9A,ATG9A APG9L1,Homo sapiens,phasepdb
Q7Z3E1,Protein mono-ADP-ribosyltransferase TIPARP,TIPARP PARP7,Homo sapiens,phasepdb
