Entry,Location_SL_IDs
Q5VUM1,SL-0170
Q8IWE2,SL-0086
Q96PM9,SL-0086; SL-0188; SL-0283
Q9NQC3,SL-0097; SL-0039; SL-0258; SL-0038
P22528,SL-0086
Q7Z6J9,SL-0191; SL-0188
Q8WWK9,SL-0090; SL-0251; SL-0448
Q96D98,SL-0191
Q9H875,SL-0191; SL-0188
Q9H9B1,SL-0191; SL-0468
Q9NZU7,SL-0090; SL-0198; SL-0039; SL-0132; SL-0297; SL-0138
Q9P0J7,SL-0086; SL-0152; SL-0158
Q9P1A6,SL-0039; SL-0297; SL-0258
P20396,SL-0243
Q569K4,SL-0191
Q6QNY0,SL-0086
Q7Z5R6,SL-0039; SL-0291; SL-0118; SL-0090
Q92886,SL-0191
Q96K58,SL-0191
Q9BQK8,SL-0191
Q9BRP8,SL-0086; SL-0188; SL-0190
Q9BXT5,SL-0086; SL-0191
Q9BYE0,SL-0191
Q9Y2D1,SL-0086; SL-0191; SL-0048
P00519,SL-0090; SL-0191; SL-0173; SL-0182
Q03112,SL-0191; SL-0186; SL-0086
Q7Z7M0,SL-0162
Q969R2,SL-0162; SL-0007
Q9NP31,SL-0086
P78524,SL-0138; SL-0039; SL-0232
Q6NWY9,SL-0186
Q8WVB6,SL-0191
Q9HC77,SL-0048; SL-0046
O95947,SL-0191
P56179,SL-0191
Q8TEH3,SL-0071; SL-0222
Q92502,SL-0118
Q86YV0,SL-0086; SL-0138
Q8N5U6,SL-0086; SL-0191
Q92619,SL-0086; SL-0301
Q9HAP2,SL-0086; SL-0191; SL-0172
Q9NTX7,SL-0091; SL-0191
O00213,SL-0039; SL-0086; SL-0191; SL-0288; SL-0186
Q8IZP0,SL-0086; SL-0191; SL-0291; SL-0286; SL-0288; SL-0297; SL-0090
Q9HC78,SL-0191
Q86XL3,SL-0097
B4DS77,SL-0285; SL-0258
Q96K62,SL-0191
Q6PII3,SL-0191
Q9BXU3,
O43638,SL-0191
Q6H9L7,SL-0243
Q9Y3E1,SL-0191
Q8IYL3,SL-0191
Q9NXZ1,SL-0191
A6NGD5,SL-0191
Q5VYV0,SL-0191
Q6BEB4,SL-0191
Q96PI1,SL-0086; SL-0138
Q9BZE3,SL-0191
Q9C0I3,
Q9H8U3,
A6NMT0,SL-0191
A0A183,
Q5MJ07,
P0DPQ3,
P59052,
Q8N910,
Q9P2W6,SL-0086
Q5VSR9,
P0C7W0,
P0DMU3,
Q9Y4M8,
Q8IYB0,
Q3SY89,
P29536,SL-0313; SL-0090
P40222,
Q2TAC6,SL-0090; SL-0066
Q5T7N3,SL-0086
Q6EMB2,SL-0066; SL-0087; SL-0191; SL-0086
Q8N0Y2,SL-0191
Q8TF63,SL-0191; SL-0086
Q96BK5,SL-0191; SL-0188; SL-0276; SL-0149
Q9NTK1,SL-0086; SL-0204; SL-0173
Q9UPU5,
P35659,SL-0191
Q8TAU0,SL-0191
Q96D09,
Q96QE3,SL-0191
Q9BWW7,SL-0191
Q9H2A7,SL-0039; SL-0243
Q9UBR4,SL-0191
Q9UL17,SL-0191
O15550,SL-0191
P05019,SL-0243
P08235,SL-0086; SL-0191; SL-0097
P0C7T5,SL-0191; SL-0283
P15863,SL-0191
Q00613,SL-0191; SL-0086; SL-0190; SL-0198; SL-0448; SL-0048; SL-0149
Q5XKR4,SL-0191
Q8NEC5,SL-0115
Q92522,SL-0191; SL-0188; SL-0468
Q9BRS8,SL-0086; SL-0191
Q9UKA4,SL-0086; SL-0048
O75409,
P13805,
Q13129,SL-0191
Q15696,SL-0191
Q6PCT2,SL-0086; SL-0191
Q6UX34,SL-0162; SL-0086; SL-0111
Q8N6I1,SL-0191
Q8NBJ4,SL-0068
Q8TA86,SL-0191
Q99743,SL-0191
Q9NQL9,SL-0191
Q9UIH9,SL-0191
Q9ULD4,SL-0191
Q9Y2G1,SL-0097; SL-0191; SL-0086
P25490,SL-0181
P46087,SL-0188; SL-0191
P58304,SL-0191
Q6IQ55,SL-0066; SL-0087; SL-0046; SL-0091; SL-0191
Q8WU58,
Q92837,SL-0086
Q969T9,SL-0086; SL-0191
Q99708,SL-0191; SL-0468
Q9P0U4,SL-0186; SL-0191
Q9P1T7,SL-0188; SL-0086; SL-0243
Q6ZRI0,SL-0015; SL-0112
Q8IXF0,SL-0191
Q96DT7,SL-0191
O14523,SL-0097; SL-0039
Q5JUK2,SL-0086; SL-0191
Q5T4W7,SL-0243
Q86X29,SL-0039; SL-0265
Q8TEP8,SL-0046; SL-0048
Q9P2P5,SL-0086; SL-0251
Q06455,SL-0191
Q9NRI5,SL-0086; SL-0090; SL-0173; SL-0048; SL-0297
O60504,SL-0038; SL-0090; SL-0191
Q9H0E9,SL-0191
Q9NUL5,SL-0086; SL-0191; SL-0230
Q92614,SL-0132; SL-0266; SL-0521; SL-0484; SL-0098; SL-0090; SL-0086; SL-0310
Q9BU76,
P56270,SL-0191
Q8IX01,SL-0191
Q14135,SL-0191
Q13936,SL-0039; SL-0238; SL-0197; SL-0520; SL-0283; SL-0505
P22532,SL-0086
Q3C1V8,SL-0191
A4D2P6,SL-0219
P0C862,SL-0243
Q86TD4,SL-0240; SL-0241
Q9P2P1,SL-0162
O95076,SL-0191
A4D1S0,SL-0162
A6NDN3,
Q9BYE4,SL-0086
A2A3N6,SL-0086
Q4KMZ1,
Q53EQ6,SL-0191
Q6ZRT6,
Q6ZRV3,
O15428,
Q7Z7L8,SL-0086
F5GYI3,
Q6ZN03,
Q8IUI4,
Q96HZ7,
Q9UHL3,
Q5PR19,
Q8IXQ3,
A6NJI1,
Q1RN00,
A6NEY3,
A8MQ03,SL-0079
O15541,SL-0191; SL-0186
O75554,SL-0191; SL-0186
P15514,SL-0162
P35326,SL-0243; SL-0112; SL-0244
Q13573,SL-0191
Q5T749,SL-0086
Q69383,SL-0086; SL-0188
Q8TEC5,SL-0191
Q92504,SL-0097; SL-0068
Q96DX7,
Q9H4X1,SL-0086; SL-0191; SL-0048
P34741,SL-0162
Q15554,SL-0191; SL-0276
Q6PRD7,SL-0086; SL-0191
Q9BW85,SL-0191
Q9NPI6,SL-0230; SL-0191
Q9P0L2,SL-0039; SL-0090; SL-0086; SL-0283
Q9UK33,SL-0191
Q9UPN3,SL-0090; SL-0086; SL-0132; SL-0039; SL-0301
O75496,SL-0086; SL-0191
P19338,SL-0188; SL-0086
Q5T5A8,
Q92567,
Q96CN9,SL-0086; SL-0134
Q9BXM0,SL-0039; SL-0191; SL-0086; SL-0038
Q9C0D0,SL-0086; SL-0258; SL-0191
Q9Y4Z2,SL-0191
O15211,
O94989,SL-0283
O94992,SL-0191; SL-0086
P36956,SL-0097; SL-0134; SL-0078; SL-0191
P49640,SL-0191
Q13627,SL-0191; SL-0186
Q5FWF5,SL-0191; SL-0468
Q5T619,SL-0191
Q86UZ6,SL-0191; SL-0468
Q8WYQ3,SL-0169
Q96EG3,SL-0191
O15178,SL-0191
P32243,SL-0191
P42166,SL-0191; SL-0468
Q03014,SL-0191; SL-0494; SL-0086
Q5TID7,SL-0090; SL-0117; SL-0066; SL-0304
Q6P2H3,SL-0048; SL-0448; SL-0188; SL-0046; SL-0138
Q86VY4,
Q8IZW8,SL-0118; SL-0090
Q96Q06,SL-0039; SL-0086; SL-0154
Q9BTD8,SL-0191; SL-0086
Q9Y6B2,SL-0191; SL-0086
O75952,SL-0090; SL-0117; SL-0191; SL-0086
Q99966,SL-0191; SL-0086
Q9C0D5,SL-0297
Q9P2M7,SL-0265
Q86T82,SL-0191; SL-0468
Q99941,SL-0097; SL-0191
Q9GZN2,SL-0191
Q9H2W2,SL-0191
Q6XE24,SL-0086
Q96PX1,SL-0086
Q5HYK7,SL-0086; SL-0191
Q6VN20,SL-0091; SL-0191
Q8TCY5,SL-0039; SL-0097
Q9BTT0,SL-0086; SL-0191
P01258,SL-0243
P23760,SL-0191
Q6AWC2,SL-0091
Q7Z460,SL-0090; SL-0048; SL-0149; SL-0251; SL-0266
Q9BUF7,SL-0015; SL-0265
Q9Y6J0,SL-0191
Q7Z6G8,SL-0086; SL-0191; SL-0297; SL-0284; SL-0031
Q8WYP5,SL-0086; SL-0191; SL-0178; SL-0181; SL-0149; SL-0190; SL-0185
Q9BQY9,
Q9BYV8,SL-0048; SL-0066; SL-0087
P22531,SL-0086
Q9H347,
B2RNN3,SL-0243
O94854,SL-0090
P35325,SL-0086
Q9UDV7,SL-0191
Q6T4P5,SL-0162
A8K0R7,
A8MYZ6,SL-0086; SL-0191
Q53FE4,
P61573,SL-0086; SL-0188
P61579,SL-0086; SL-0188
Q8IYN6,
Q9Y6J3,
P61572,SL-0086; SL-0188
A0A1B0GV85,SL-0162
Q5H9B9,
Q6UXQ8,SL-0243
Q9Y5V0,SL-0086; SL-0191
Q6IPW1,
Q96MF4,
A0A1B0GUA6,
A0A0U1RR37,
Q6ZTC4,
A6NLF2,
Q3SXR2,
O75781,SL-0039; SL-0287; SL-0279; SL-0283; SL-0284; SL-0026; SL-0017
O96004,SL-0190; SL-0188
P22492,SL-0191; SL-0468
P78412,SL-0191
Q02040,SL-0186
Q04741,SL-0191; SL-0086
Q16629,SL-0191; SL-0086
Q8N6F7,SL-0086; SL-0039
Q92539,SL-0191; SL-0091; SL-0097
Q96BZ8,
Q9NQC1,
Q9Y5L2,SL-0154; SL-0243; SL-0162
A0AVK6,SL-0191
O00305,
P35247,SL-0111; SL-0255
P50402,SL-0179; SL-0183
P57682,SL-0191
Q16385,SL-0191
Q5T5B0,
Q8WVK2,SL-0191
Q9BZ72,SL-0147
Q9UBD0,SL-0191; SL-0086
A6NIX2,SL-0009; SL-0191; SL-0230
O60241,SL-0039; SL-0243
O94972,SL-0468; SL-0198; SL-0203
P25686,SL-0086; SL-0191; SL-0097
P28324,SL-0191
Q06587,SL-0191; SL-0186
Q5TCX8,
Q86X95,SL-0186; SL-0048
Q8IYG6,SL-0066
Q96FT7,SL-0039
Q9HCU0,SL-0162
Q9P219,SL-0086; SL-0038
Q9Y463,SL-0191; SL-0188; SL-0468
A6NK89,SL-0091; SL-0048; SL-0448
O14639,SL-0086; SL-0090
O43711,SL-0191
O95810,SL-0091; SL-0035
P18887,SL-0191; SL-0468
P28702,SL-0191; SL-0086
P61244,SL-0191; SL-0283
Q04864,SL-0191
Q14872,SL-0191; SL-0086
Q5VWQ8,SL-0086; SL-0039; SL-0162; SL-0283
Q6UX04,SL-0191
Q6XZF7,SL-0086; SL-0135; SL-0090; SL-0258; SL-0038
Q969Z4,SL-0039; SL-0086; SL-0198
Q96FF9,SL-0191; SL-0468; SL-0086
Q96IS3,SL-0191
Q99442,SL-0097
Q99687,SL-0191
Q99935,SL-0243
Q9BYN7,SL-0191
Q9H2C1,SL-0191
Q15022,SL-0191
Q6ICG8,
Q8NEA6,SL-0191
Q96NB3,SL-0191; SL-0468; SL-0186
Q9UBS9,SL-0237
O00409,SL-0191
P52756,SL-0191
Q8IYB5,SL-0039
Q96EP1,SL-0465
Q9HBB8,SL-0015; SL-0294
P78358,SL-0086
Q5VZL5,
Q9H329,SL-0086; SL-0265
Q9H2G2,SL-0086
Q96JG8,
P04637,SL-0086; SL-0191; SL-0465; SL-0095; SL-0170; SL-0048
P49757,SL-0039; SL-0100
Q6P3S6,
Q7RTV3,SL-0191
Q8IUE1,SL-0191
Q8NCA9,SL-0191
Q9H9L3,SL-0188
Q96CW6,SL-0086; SL-0191
O75335,SL-0086; SL-0310
Q49A92,
Q8ND24,
Q6ZU69,SL-0162
A0A087WXM9,SL-0047; SL-0149
Q6NSJ2,
P43359,
Q8TAI1,
Q9Y3B9,
Q8IW50,
O75264,SL-0162
P0DPF6,
A1A4G5,
Q92628,
Q9H4R4,
A0A2R8YCJ5,SL-0162
A6NM62,SL-0162
P61580,SL-0191
Q8N8I6,
Q8NCU4,
Q8N5S3,SL-0066
C9JC47,
O43566,SL-0191; SL-0465; SL-0086; SL-0162; SL-0039; SL-0048; SL-0251; SL-0448; SL-0283; SL-0284; SL-0297
P83916,SL-0191
Q14839,SL-0191; SL-0048
Q86YP4,SL-0186; SL-0191; SL-0468
Q8IXH6,SL-0091; SL-0191; SL-0465; SL-0023
Q8WUQ7,SL-0191; SL-0091
Q8WY41,SL-0198; SL-0086
Q96LX7,SL-0066; SL-0304
Q9H5H4,SL-0191; SL-0468
Q9HBZ2,SL-0191
Q9UEG4,SL-0191
Q9UPS8,
O75593,SL-0191
O75970,SL-0039; SL-0015; SL-0297; SL-0283; SL-0265; SL-0258; SL-0261
P26583,SL-0191; SL-0468; SL-0086; SL-0243
Q15047,SL-0191; SL-0086; SL-0468
Q8IXM2,SL-0191
Q8N4C8,SL-0086; SL-0297; SL-0279; SL-0283; SL-0132
Q8NEL9,SL-0086
Q96AY4,SL-0090; SL-0048; SL-0251; SL-0448; SL-0469
Q9H9D4,SL-0191
Q9NWS9,SL-0191
Q9Y2I6,SL-0048; SL-0086
A8MTA8,SL-0304; SL-0114
O94880,SL-0191; SL-0468; SL-0086
O95391,SL-0191; SL-0186; SL-0086
P01210,SL-0349; SL-0243
Q15233,SL-0191; SL-0188; SL-0186; SL-0468
Q56P03,SL-0086; SL-0191
Q5TC82,SL-0230; SL-0281
Q68DV7,SL-0039; SL-0097; SL-0178
Q8WYQ5,SL-0191; SL-0188
Q9ULD8,SL-0039
O43597,SL-0090; SL-0301
P81408,SL-0162
P98077,
Q02641,SL-0238; SL-0039
Q15569,SL-0086; SL-0198; SL-0048; SL-0291
Q15697,SL-0191
Q15915,SL-0191; SL-0086
Q17RY0,SL-0086; SL-0283; SL-0284; SL-0297; SL-0279; SL-0288; SL-0095; SL-0198
Q86YI8,SL-0191; SL-0190
Q96I25,SL-0191
Q96KN3,SL-0191
Q9BTL3,SL-0191
Q9UQR1,SL-0191
Q9Y6R9,SL-0048; SL-0485; SL-0087
O14976,SL-0198; SL-0266; SL-0118; SL-0070
O95935,SL-0191
P10244,SL-0191
Q6N043,SL-0191
Q86XF7,SL-0191
Q8N3J3,SL-0191; SL-0468
Q9P107,
Q13625,SL-0198; SL-0191
Q63HQ0,SL-0266; SL-0152; SL-0094
A8MZ59,SL-0191
Q5JSH3,SL-0091; SL-0198; SL-0100; SL-0266
Q96MY7,
Q9ULG6,SL-0282
Q17RD7,
O43526,SL-0039
P57071,SL-0191
Q9Y608,
O43734,
Q13952,SL-0191
Q9NZB2,SL-0086; SL-0039
Q8TF68,SL-0191
Q99457,SL-0191
Q9H091,SL-0191; SL-0086
P31267,SL-0191
Q6IEE7,SL-0162
Q6UXX5,SL-0243
Q6ZVH7,SL-0302
A6NLJ0,SL-0191
Q99618,SL-0091
Q76M96,SL-0111
Q8IYW2,SL-0304
Q9C0H5,SL-0191
P0DJD0,
Q8N660,SL-0086
Q8TEE9,SL-0191; SL-0086
Q9H5J0,SL-0191
Q9H7J1,
Q8N0U7,SL-0066; SL-0304
Q8N9Y4,
Q7Z309,
P0C2Y1,SL-0086
Q3MIV0,
Q9H8W2,
Q9ULE4,
F8W1W9,
P61574,SL-0086; SL-0188
Q9UNZ5,
Q8N1V8,
Q8N4L4,SL-0162; SL-0086
Q9H8V8,
H3BMG3,
Q6ZS52,
Q9BZD3,
O15119,SL-0191
O15156,SL-0191
O60682,SL-0191
O94876,SL-0097
P14652,SL-0191
P15391,SL-0039; SL-0370
Q16594,SL-0191
Q3LI72,
Q5SWA1,
Q7L8J4,
Q8IZX4,SL-0191
Q8NBI3,SL-0243
Q8NHZ8,SL-0191
Q8WW38,SL-0191
Q9C091,SL-0162
P11274,SL-0297; SL-0284; SL-0279; SL-0258
P25063,SL-0039
Q32MK0,SL-0086
Q52LW3,
Q8N729,SL-0243
Q8TDC0,SL-0314
Q9H799,SL-0162; SL-0066
O00562,SL-0086; SL-0136; SL-0097; SL-0154; SL-0467; SL-0469
O15083,SL-0086; SL-0258; SL-0519; SL-0090
O15173,SL-0162; SL-0178; SL-0095; SL-0243
P82979,SL-0191; SL-0186
Q6DKI7,SL-0039
Q86UW6,SL-0086
Q8N5R6,
Q9BRQ6,SL-0168; SL-0173
Q9H0F6,SL-0091; SL-0258
Q9UGY1,SL-0188; SL-0191; SL-0086
O00221,SL-0086
O95210,SL-0221; SL-0097; SL-0505
P58401,SL-0222
Q13151,SL-0191
Q15723,SL-0191
Q96AP0,SL-0191; SL-0276
Q9BTP6,SL-0191
Q9H5V7,SL-0191
Q9NZM5,SL-0188; SL-0190
Q9Y2Y4,SL-0191
H3BV60,SL-0039
O15347,SL-0191; SL-0468; SL-0086
P04554,SL-0191; SL-0468
P55081,SL-0191
P78362,SL-0086; SL-0190; SL-0186; SL-0468
Q02779,
Q06889,SL-0191
Q6NZY7,SL-0147; SL-0090
Q6PJW8,SL-0039; SL-0267; SL-0244
Q6PUV4,SL-0091; SL-0516; SL-0191; SL-0197
Q8TAK6,SL-0191
Q92785,SL-0191; SL-0086
Q96BA8,SL-0097; SL-0191
Q96BY7,SL-0221; SL-0154; SL-0097
Q96EL1,SL-0191; SL-0086
Q9BWK5,SL-0086; SL-0191; SL-0468
Q9BXK5,SL-0171; SL-0191
Q9NZN5,SL-0086; SL-0162
O15013,
Q9BZC7,SL-0100; SL-0157
O00555,SL-0039
Q8NE35,SL-0086; SL-0191; SL-0258; SL-0283; SL-0297
Q9NPF0,SL-0039
Q7Z353,SL-0191
Q9HAF1,SL-0188; SL-0149
P22626,SL-0191; SL-0190; SL-0086; SL-0281; SL-0466
P55201,SL-0191; SL-0468; SL-0086
P35749,SL-0161
P49796,SL-0086; SL-0191; SL-0039
A2A2V5,SL-0162
Q2MJR0,SL-0039
Q8WV48,SL-0162
Q9UHP9,
Q9NUQ6,SL-0086; SL-0188
O43247,SL-0007; SL-0117
O94988,
A6NKT7,
Q7RTT5,
Q9H6B1,SL-0191
Q9Y5P2,
Q5TI25,SL-0086
A6NDD5,SL-0162; SL-0067
Q8N283,
Q9NVM1,SL-0162
P0DJD1,
Q6ZNC4,SL-0191
Q9H0K4,SL-0114
Q96N46,
Q96A19,
P56555,
P61581,SL-0191
Q8NC38,
Q96LP6,
Q8WWM1,
P61583,SL-0191
Q6ZV77,
Q5T6M2,
P0CG42,
P0CAP2,SL-0191
P51617,SL-0086; SL-0191; SL-0154
P78413,SL-0191
Q01201,SL-0191; SL-0048
Q2TAC2,SL-0048; SL-0485; SL-0046; SL-0251
Q8NHZ7,SL-0191
Q96K80,SL-0191
Q9NQX5,SL-0162
O95628,SL-0086; SL-0191
P98161,SL-0039; SL-0066; SL-0095; SL-0132; SL-0498; SL-0466
Q15784,SL-0191
Q2M1K9,SL-0191
Q6UXY1,SL-0039; SL-0038; SL-0089
Q7Z794,
Q8TC41,SL-0162; SL-0086
Q9H0B6,SL-0090; SL-0157
Q9H1K0,SL-0039; SL-0093
Q9UKL0,SL-0191
O75445,SL-0303; SL-0243
P09497,SL-0089; SL-0072
P35251,SL-0191
P43146,SL-0162
Q4KMG0,SL-0039
Q5T0W9,SL-0086; SL-0162
Q92681,SL-0039; SL-0191; SL-0266
Q96IT1,SL-0191
Q96QR8,SL-0191
Q9H4L4,SL-0188; SL-0190; SL-0086
O43290,SL-0191
O60927,
P80192,
Q3B820,SL-0087; SL-0066; SL-0046
Q9BSD3,SL-0191; SL-0468
Q9C0C9,SL-0086; SL-0191
P31270,SL-0191
P42167,SL-0179; SL-0086
Q13064,SL-0191
Q8NA72,SL-0048; SL-0046
Q8NB66,SL-0086; SL-0162; SL-0222
Q8TB68,SL-0039; SL-0219; SL-0520; SL-0198; SL-0258; SL-0283; SL-0191
Q92917,SL-0191
Q96IU2,SL-0086; SL-0162; SL-0243
Q96P44,SL-0111; SL-0086
Q9BQF6,SL-0086
Q9UJM3,SL-0086; SL-0039; SL-0191
Q14684,SL-0188; SL-0190; SL-0468
Q15811,SL-0147; SL-0261; SL-0291; SL-0039; SL-0069; SL-0232; SL-0101; SL-0088; SL-0086; SL-0178
Q5SQI0,SL-0086; SL-0069; SL-0118; SL-0279; SL-0090; SL-0251
Q8IYY4,SL-0087; SL-0046
Q8WXE9,SL-0086; SL-0162; SL-0261
Q9HDB5,SL-0222
Q9UKI8,SL-0191
A2A288,SL-0230; SL-0086; SL-0191
O75038,SL-0086; SL-0039
Q01831,SL-0191; SL-0468; SL-0086
Q15011,SL-0097
Q68DK2,SL-0048; SL-0469
Q8TDC3,SL-0086; SL-0191; SL-0048; SL-0258; SL-0519; SL-0259
Q05195,SL-0191
Q08AE8,SL-0090; SL-0198; SL-0039; SL-0089
Q86YS3,SL-0101; SL-0251; SL-0048; SL-0231; SL-0467; SL-0469; SL-0088
Q9H0F5,SL-0191
Q9Y3L3,SL-0280; SL-0265; SL-0009; SL-0473; SL-0191; SL-0091
P49418,SL-0260; SL-0090
Q7Z406,
Q7Z7A1,SL-0048; SL-0490
Q9UIG0,SL-0191
Q9UIS9,SL-0191; SL-0181; SL-0186; SL-0468
Q86SU0,SL-0039; SL-0265; SL-0086; SL-0091
O60333,SL-0090; SL-0260; SL-0173
Q7Z5H3,SL-0086; SL-0191
Q92879,SL-0191; SL-0086
Q9UPP1,SL-0191; SL-0188
Q99504,SL-0086; SL-0191
O60716,SL-0009; SL-0086; SL-0191; SL-0039; SL-0038
Q7KZI7,SL-0039; SL-0086; SL-0153; SL-0090; SL-0283
Q9Y651,SL-0191
Q12796,SL-0191
Q7L0R7,
A7MBM2,SL-0162
Q8IZT9,SL-0191
Q6ZS11,SL-0300; SL-0088
Q9H1C7,SL-0162
Q8N0Z2,SL-0313; SL-0090
Q9BXX3,
Q8NEE0,
Q96FF7,
P0DPI4,SL-0039
Q0IIN9,
A8MTW9,SL-0243
P0C874,SL-0162
P61571,SL-0086; SL-0188
A6NCL7,
B7Z1M9,
Q6X4T0,
Q6ZSR9,
Q6ZUB0,SL-0162
Q8N769,
Q9BR46,
Q5RGS3,
P29353,SL-0086; SL-0118; SL-0170; SL-0173
Q02575,SL-0191
Q15319,SL-0191; SL-0086
Q8IW19,SL-0191; SL-0468; SL-0091
Q96RS0,SL-0086; SL-0031; SL-0188
P55795,SL-0190
P98174,SL-0086; SL-0291; SL-0300; SL-0090
Q13009,SL-0038; SL-0039
Q8WVX3,SL-0097
Q9UKY1,SL-0191
Q9ULF5,SL-0039; SL-0015
Q9UMR3,SL-0191
O00401,SL-0090; SL-0191; SL-0086
O14646,SL-0191; SL-0086
P17480,SL-0188
Q5VWT5,SL-0370
Q6ZMT1,SL-0091; SL-0039; SL-0238
Q8NCA5,
Q92543,SL-0093; SL-0089
Q96KQ7,SL-0191; SL-0468
A1Z1Q3,SL-0191
D6RGH6,SL-0191
O15355,SL-0086; SL-0162
O60479,SL-0191; SL-0086
O75417,SL-0191; SL-0468
O95096,SL-0191
P56211,SL-0086
Q8TDB4,SL-0173; SL-0172; SL-0168
Q9Y4F4,SL-0066; SL-0090; SL-0304
Q9Y5V3,SL-0086; SL-0039; SL-0191
O75298,SL-0097; SL-0241; SL-0039; SL-0238; SL-0505; SL-0314; SL-0090
P42858,SL-0086; SL-0191; SL-0094; SL-0023
Q14767,SL-0111
Q5VUB5,SL-0039
Q76NI1,SL-0283; SL-0197
Q7Z698,SL-0039; SL-0245; SL-0086
Q8IWD4,SL-0251; SL-0191
Q92738,SL-0132; SL-0088
Q9BWT7,SL-0086
Q9C0J9,SL-0191
Q9P2K3,SL-0191
Q9UHG0,SL-0066; SL-0304; SL-0460; SL-0090
Q9UL54,SL-0089; SL-0090; SL-0191; SL-0283
Q9ULH1,SL-0086; SL-0162; SL-0132; SL-0266
O75022,SL-0039
P13378,SL-0191
Q8WXF1,SL-0186; SL-0188; SL-0181; SL-0086
Q99593,SL-0191; SL-0086
P50851,SL-0039; SL-0097; SL-0267; SL-0157
Q8N6T3,SL-0086; SL-0132
O94864,SL-0191
Q00994,SL-0191; SL-0091
Q01860,SL-0086; SL-0191
Q9BQS8,SL-0023; SL-0101; SL-0158
Q9H7E2,SL-0086; SL-0191
Q9NP74,SL-0086; SL-0283; SL-0284
Q5TCQ9,SL-0039; SL-0265; SL-0191
Q7Z5V6,SL-0066; SL-0086; SL-0114
Q8N302,SL-0086; SL-0243
Q969W9,SL-0093; SL-0134
Q9H706,
Q9HCC9,SL-0091; SL-0093
Q6GYQ0,SL-0086; SL-0191
Q8N264,SL-0090; SL-0009; SL-0118; SL-0280
Q8WX93,SL-0090; SL-0118; SL-0314; SL-0300; SL-0295; SL-0291; SL-0279; SL-0288
O95819,SL-0086
Q92994,SL-0191
O60347,SL-0101
Q3ZCQ3,SL-0039; SL-0132
Q6P4E1,SL-0162
O60225,
Q8NEF9,SL-0198
Q96M83,
Q6P582,SL-0048; SL-0251
Q8N109,SL-0039
Q8NHK3,SL-0039
Q5TH69,SL-0086; SL-0244; SL-0245
Q2TB10,SL-0191
Q5TGS1,SL-0191
Q9ULM0,
Q6PCB5,SL-0191
Q7Z3J3,
Q96KW9,SL-0243; SL-0007; SL-0005
Q8N228,SL-0191
P0C864,
Q5U4N7,SL-0173
Q6UXD1,SL-0162
Q8N9U9,
Q96GI7,
A0A1B0GVZ6,
A0A1B0GTR4,
A0A286YF58,SL-0162
P0DJG4,
Q8WUB2,
A0A1B0GTS1,SL-0191
A8MXV6,SL-0162
Q96N53,
A0A0J9YX94,
P0CG43,
P0DPF5,
Q0VAK6,SL-0086; SL-0315; SL-0476; SL-0090
Q15643,SL-0068; SL-0090; SL-0099
Q6Q759,SL-0086; SL-0114; SL-0007; SL-0132; SL-0090
Q7RTU3,SL-0191
Q9H9L7,SL-0191
Q9HCK4,SL-0162
Q9ULV5,SL-0191
O00472,SL-0191
O95872,
P02671,SL-0243
P05423,SL-0191
P07199,SL-0191; SL-0047
P15056,SL-0191; SL-0086; SL-0039
Q6BDS2,SL-0152
Q86TY3,SL-0162
Q8NA77,SL-0086
Q9NXE8,SL-0191
Q9NYX4,SL-0089; SL-0039
Q9UHG2,SL-0243; SL-0266
Q9ULI0,SL-0191
O43491,SL-0090; SL-0138; SL-0039
P0C7X2,SL-0191
Q16621,SL-0465; SL-0086
Q5TA77,
Q6P1N0,SL-0086; SL-0191; SL-0048
Q6S9Z5,
Q7L591,SL-0086; SL-0039
O60563,SL-0191
P42694,SL-0191; SL-0086
Q00444,SL-0191
Q15506,SL-0162
Q6ZU80,SL-0046; SL-0087; SL-0048; SL-0448
Q8N0Z3,SL-0048; SL-0046; SL-0251
Q8NEJ9,SL-0191; SL-0188; SL-0047; SL-0086; SL-0279; SL-0283; SL-0286
Q8NHV9,SL-0191
Q96LR2,SL-0086
Q9BW19,SL-0191; SL-0048; SL-0251; SL-0094
Q9BYH8,SL-0191
Q9H832,SL-0086; SL-0191
Q9NS15,SL-0243; SL-0111
Q9UPV9,SL-0086; SL-0191; SL-0173; SL-0094; SL-0101; SL-0171; SL-0138
Q9Y3P8,SL-0039
Q9Y468,SL-0191
O43364,SL-0191
O43541,SL-0191
O60812,SL-0191
P08651,SL-0191
P18545,
P59817,SL-0191
Q5TA78,
Q96JZ2,SL-0086; SL-0191
Q9BXB5,SL-0090
Q9H2F5,SL-0191; SL-0086
Q9HCG8,SL-0191; SL-0186
O75822,SL-0086
O95684,SL-0048; SL-0046; SL-0087
Q13492,SL-0039; SL-0069; SL-0132; SL-0070; SL-0191
Q9H869,SL-0086; SL-0191; SL-0190; SL-0188
O95428,SL-0243
Q86XR8,SL-0191; SL-0086; SL-0048
Q6ISU1,SL-0162; SL-0039
Q8N5A5,SL-0191
P40426,SL-0191
Q02086,SL-0191
Q15025,SL-0086; SL-0191
Q15742,SL-0191
Q9H6L5,SL-0068; SL-0097
Q13342,SL-0191; SL-0465; SL-0086
Q2TAZ0,SL-0221; SL-0154; SL-0097
Q9Y2N7,SL-0191; SL-0086; SL-0186; SL-0173
