Entry,Location_SL_IDs
Q9HBL0,SL-0310; SL-0118; SL-0090
O14513,
P48634,SL-0086; SL-0191
Q7Z5J4,SL-0086; SL-0191
P15923,SL-0191
Q7Z6E9,SL-0188; SL-0468; SL-0048
P52948,SL-0182; SL-0185; SL-0190
Q8NEY1,SL-0090
P15502,SL-0111
Q99102,SL-0039; SL-0243
O15069,SL-0086; SL-0191
Q9P1Y6,
Q8WYQ9,
Q5JPB2,
Q6ZU65,
Q9H195,SL-0162
Q9ULL0,SL-0007
A5PL33,
Q5VZ46,
Q9ULD9,
Q9BY89,
Q9Y4F5,SL-0090
Q96KW2,
A6NNC1,SL-0162
A0A0U1RQI7,SL-0191
O00268,SL-0191
O15265,SL-0191; SL-0188; SL-0181; SL-0090; SL-0086
O43166,SL-0090; SL-0297; SL-0261
P16112,SL-0111
Q06945,SL-0191
Q14686,SL-0191
Q6P4R8,SL-0191
Q76L83,SL-0191
Q8TD26,SL-0190
Q96PK6,SL-0191; SL-0188; SL-0086
Q9C0A6,SL-0191; SL-0468
Q9H0E3,SL-0191
Q9NR09,SL-0267; SL-0101; SL-0448; SL-0048; SL-0490
Q9NRF2,SL-0086; SL-0162; SL-0191
Q9NZ56,SL-0090; SL-0091; SL-0198; SL-0191; SL-0188; SL-0039; SL-0089; SL-0138
Q9UMZ2,SL-0086; SL-0267; SL-0198; SL-0070
O14559,
O15054,SL-0191
P51610,SL-0086; SL-0191
Q5D862,SL-0086; SL-0281
Q5TCY1,SL-0086
Q8NF64,SL-0191
Q8WYB5,SL-0191
Q92585,SL-0186
Q9NXV6,SL-0190
O15015,SL-0191
O15061,SL-0090; SL-0009
O60641,SL-0039; SL-0072
O75592,SL-0191; SL-0279; SL-0090
P35527,
P46379,SL-0091; SL-0191; SL-0466
Q2VWA4,SL-0191; SL-0086
Q5T5U3,SL-0134; SL-0038; SL-0089; SL-0090
Q5T8A7,SL-0188
Q702N8,SL-0009; SL-0092
Q8TEK3,SL-0191
Q96PE2,
Q96RY5,SL-0191; SL-0468
Q9P206,
O94885,SL-0086
P49792,SL-0191; SL-0182; SL-0185; SL-0178
Q01484,SL-0090; SL-0162; SL-0315; SL-0015; SL-0039; SL-0219; SL-0094; SL-0232; SL-0158; SL-0173; SL-0314; SL-0505
Q07092,SL-0111
Q15751,SL-0162; SL-0091; SL-0132
Q2KHR2,SL-0191
Q96F45,SL-0191
Q9P2D1,SL-0191; SL-0188
Q9Y2H9,SL-0039; SL-0090; SL-0279; SL-0283
P54259,SL-0191; SL-0198; SL-0038
Q14687,
Q641Q2,SL-0093; SL-0039
Q86YV5,SL-0086; SL-0118; SL-0191
Q96Q04,SL-0162; SL-0279; SL-0283; SL-0134
Q9BVL2,SL-0185; SL-0182
Q9BYW2,SL-0191; SL-0468
P11137,SL-0090; SL-0283
Q5T5P2,SL-0048; SL-0086
Q6WKZ4,SL-0232; SL-0088; SL-0205
Q9H7P9,
P51826,SL-0191
Q99081,SL-0191
Q14671,SL-0086; SL-0230; SL-0281
Q5JTC6,SL-0086; SL-0039; SL-0191
Q6N021,SL-0191; SL-0468
Q6ZNA4,SL-0191; SL-0086; SL-0465
A1L4H1,SL-0243; SL-0086
P84550,SL-0191
Q15772,SL-0191
Q86UU0,SL-0191
Q9P267,SL-0191; SL-0468
O95071,SL-0191; SL-0086
P08047,SL-0191; SL-0086
Q711Q0,SL-0314
Q8WWM7,SL-0162; SL-0086; SL-0186; SL-0281
Q92766,SL-0186
A7E2V4,SL-0091
Q8IWZ3,SL-0086
Q9UPX8,SL-0015; SL-0086; SL-0258; SL-0297; SL-0288; SL-0284
Q14980,SL-0191; SL-0190; SL-0181; SL-0468; SL-0090; SL-0048; SL-0448; SL-0138; SL-0039; SL-0153; SL-0091
Q9H2D6,SL-0191; SL-0048; SL-0469; SL-0276
Q9UKV3,SL-0191; SL-0186; SL-0190
Q99700,SL-0086
P15884,SL-0191
Q86UR5,SL-0039; SL-0258; SL-0222
Q5VZP5,SL-0313
Q6ZUB1,SL-0162
Q17RH7,SL-0191
O60732,SL-0086
P49750,SL-0191; SL-0186
Q86XN7,
Q9P227,
Q9H2Y7,SL-0188; SL-0186
O75157,
Q8N944,SL-0039
Q6ZVL6,SL-0162
Q9HCM7,
E7EW31,
A6NKL6,SL-0162
A0A096LP49,
Q9UF83,
A6NGG8,SL-0458; SL-0457
O14654,SL-0039
O60548,SL-0191
O95153,SL-0086; SL-0173
P16150,SL-0162; SL-0293; SL-0141; SL-0191; SL-0465
P35637,SL-0191
P78364,SL-0191
Q8IX07,SL-0191
Q8IXZ2,SL-0191
Q99490,SL-0086; SL-0191
Q9BXF3,SL-0191
Q9C0C7,SL-0095; SL-0090; SL-0023; SL-0173; SL-0091; SL-0191; SL-0118
Q9C0H9,SL-0086; SL-0090; SL-0279; SL-0283; SL-0516; SL-0515; SL-0297
Q9H792,SL-0090; SL-0118
Q9H992,SL-0086
Q9HAW4,SL-0191
Q9P1Y5,SL-0090; SL-0009; SL-0086; SL-0304; SL-0087
Q9ULT8,
Q03052,SL-0191
Q12906,SL-0188; SL-0086; SL-0191
Q15596,SL-0191
Q6VMQ6,SL-0191
Q6ZMQ8,SL-0162; SL-0086; SL-0198
Q7Z2Z1,SL-0191
Q86SQ0,SL-0086; SL-0138; SL-0162; SL-0295
Q8N7J2,SL-0039
Q8TEJ3,
Q9H1B7,SL-0191
Q9H7S9,SL-0191; SL-0086
Q9H987,SL-0090
Q9ULT6,SL-0039
Q9UQB3,SL-0191; SL-0009; SL-0283; SL-0197
O43151,SL-0191; SL-0086; SL-0468
O60292,SL-0015
O60673,SL-0191
O95180,SL-0039
P08151,SL-0086; SL-0191
Q07687,SL-0191
Q12774,SL-0086; SL-0191; SL-0295
Q68CP9,SL-0191
Q6UXF1,SL-0162; SL-0297; SL-0100; SL-0279; SL-0283; SL-0094
Q70CQ4,
Q96PV7,SL-0086; SL-0191
Q9BXA9,SL-0191
Q9HCM3,SL-0162; SL-0066
Q9P2R6,SL-0191
Q9UPT8,SL-0468
Q9UPV0,SL-0046; SL-0191
O15209,SL-0191
O95948,SL-0191
P27816,SL-0090; SL-0484
Q14160,SL-0039; SL-0038; SL-0009; SL-0291; SL-0086; SL-0515; SL-0516
Q4ZHG4,SL-0243
Q969V6,SL-0086; SL-0191
Q9Y261,SL-0191; SL-0086
O75420,
P58107,SL-0090; SL-0137; SL-0265; SL-0280; SL-0017; SL-0026; SL-0038
Q12948,SL-0191
Q6UB98,SL-0191
Q8N350,SL-0260; SL-0039; SL-0288
Q9NWH9,SL-0191
Q9P266,SL-0009
P98082,SL-0086; SL-0071; SL-0069
